dataset,source,target,active_source_present,archived_pickle_present,match,edge_role,notes
MIMIC-III,LAT_GLOBAL_SEVERITY,LAT_METABOLIC_DERANGEMENT,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_GLOBAL_SEVERITY,LAT_NEUROLOGIC_DYSFUNCTION,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_GLOBAL_SEVERITY,LAT_RESPIRATORY_FAILURE,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_GLOBAL_SEVERITY,MISS_MEASUREMENT_INTENSITY,True,True,True,LAT->MISS,Assumed directed edge
MIMIC-III,LAT_GLOBAL_SEVERITY,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_HEPATIC_COAG_DYSFUNCTION,OBS_BILIRUBIN_PLATELETS_INR,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_HEPATIC_COAG_DYSFUNCTION,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_INFLAMMATION_SEPSIS,LAT_GLOBAL_SEVERITY,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_INFLAMMATION_SEPSIS,LAT_HEPATIC_COAG_DYSFUNCTION,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_INFLAMMATION_SEPSIS,LAT_SHOCK,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_INFLAMMATION_SEPSIS,OBS_TEMP_WBC_CULTURES,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_INFLAMMATION_SEPSIS,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_INFLAMMATION_SEPSIS,TRT_ANTIBIOTICS,True,True,True,LAT->TRT,Assumed directed edge
MIMIC-III,LAT_METABOLIC_DERANGEMENT,OBS_PH_ELECTROLYTES_GLUCOSE,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_METABOLIC_DERANGEMENT,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_NEUROLOGIC_DYSFUNCTION,OBS_GCS_RASS,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_NEUROLOGIC_DYSFUNCTION,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_RENAL_DYSFUNCTION,LAT_METABOLIC_DERANGEMENT,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_RENAL_DYSFUNCTION,OBS_CREATININE_BUN_URINE,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_RENAL_DYSFUNCTION,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_RENAL_DYSFUNCTION,TRT_DIALYSIS,True,True,True,LAT->TRT,Assumed directed edge
MIMIC-III,LAT_RESPIRATORY_FAILURE,LAT_METABOLIC_DERANGEMENT,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_RESPIRATORY_FAILURE,OBS_OXYGENATION,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_RESPIRATORY_FAILURE,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_RESPIRATORY_FAILURE,TRT_MECH_VENT,True,True,True,LAT->TRT,Assumed directed edge
MIMIC-III,LAT_SHOCK,LAT_HEPATIC_COAG_DYSFUNCTION,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_SHOCK,LAT_METABOLIC_DERANGEMENT,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_SHOCK,LAT_RENAL_DYSFUNCTION,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_SHOCK,OBS_BLOOD_PRESSURE,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_SHOCK,OBS_LACTATE,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_SHOCK,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_SHOCK,TRT_VASOPRESSORS,True,True,True,LAT->TRT,Assumed directed edge
MIMIC-III,MISS_MEASUREMENT_INTENSITY,OBS_AVAILABILITY,True,True,True,MISS->OBS,Assumed directed edge
MIMIC-III,MISS_MEASUREMENT_INTENSITY,OBS_LAB_COUNTS,True,True,True,MISS->OBS,Assumed directed edge
MIMIC-III,MISS_MEASUREMENT_INTENSITY,OBS_VITAL_COUNTS,True,True,True,MISS->OBS,Assumed directed edge
MIMIC-III,TRT_ANTIBIOTICS,OBS_CULTURES_MEDICATIONS,True,True,True,TRT->OBS,Assumed directed edge
MIMIC-III,TRT_DIALYSIS,OBS_CREATININE_BUN_ELECTROLYTES,True,True,True,TRT->OBS,Assumed directed edge
MIMIC-III,TRT_MECH_VENT,OBS_OXYGENATION,True,True,True,TRT->OBS,Assumed directed edge
MIMIC-III,TRT_MECH_VENT,OBS_VENTILATOR_SETTINGS,True,True,True,TRT->OBS,Assumed directed edge
MIMIC-III,TRT_VASOPRESSORS,OBS_BLOOD_PRESSURE,True,True,True,TRT->OBS,Assumed directed edge
