table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-forest-mimic,LAT_NEUROLOGIC_DYSFUNCTION,mean_cate,checked_cate_candidates.csv:mean_cate,0.034,0.034,YES,
tab:results-forest-mimic,LAT_NEUROLOGIC_DYSFUNCTION,adjustment_code,checked_cate_candidates.csv:observed_confounders + chapter code mapping,M5,M5,YES,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_GLOBAL_SEVERITY, LAT_INFLAMMATION_SEPSIS"
tab:results-forest-mimic,LAT_NEUROLOGIC_DYSFUNCTION,status,checked_cate_candidates.csv:identifiable_with_available_nodes,Identifiability unresolved,Identifiability unresolved,YES,
tab:results-forest-mimic,LAT_SHOCK,prevalence,checked_cate_candidates.csv:treatment_rate,0.540,0.540,YES,
tab:results-forest-mimic,LAT_SHOCK,mean_cate,checked_cate_candidates.csv:mean_cate,0.021,0.021,YES,
tab:results-forest-mimic,LAT_SHOCK,adjustment_code,checked_cate_candidates.csv:observed_confounders + chapter code mapping,M6,M6,YES,"Age, Gender, LAT_CARDIAC_STRAIN, LAT_CHRONIC_BURDEN, LAT_INFLAMMATION_SEPSIS"
tab:results-forest-mimic,LAT_SHOCK,status,checked_cate_candidates.csv:identifiable_with_available_nodes,Identifiability unresolved,Identifiability unresolved,YES,
tab:results-forest-mimic,LAT_METABOLIC_DERANGEMENT,prevalence,checked_cate_candidates.csv:treatment_rate,0.373,0.373,YES,
tab:results-forest-mimic,LAT_METABOLIC_DERANGEMENT,mean_cate,checked_cate_candidates.csv:mean_cate,0.020,0.020,YES,
tab:results-forest-mimic,LAT_METABOLIC_DERANGEMENT,adjustment_code,checked_cate_candidates.csv:observed_confounders + chapter code mapping,M7,M7,YES,"LAT_GLOBAL_SEVERITY, LAT_RENAL_DYSFUNCTION, LAT_RESPIRATORY_FAILURE, LAT_SHOCK"
tab:results-forest-mimic,LAT_METABOLIC_DERANGEMENT,status,checked_cate_candidates.csv:identifiable_with_available_nodes,Identifiability unresolved,Identifiability unresolved,YES,
