warning_id,source_file,source_line_start,source_line_end,overflow_pt,content_context,pdf_page,visible_margin_intrusion,visible_clipping,visible_overlap,root_cause,classification,repair_required,repair_applied,post_repair_result,notes
OVERFULL-11,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,112,112,25.02675,"LAT\ COAG\ HEME\ DYSFUNCTION Hematologic/coagulation stress. Platelets, hematocrit, WBC, platelet first-to-minimum change. Score at least 2. Platelets \(<100\) counts twice; platelets \(<150\), HCT \(<25\) or \(>55\), WBC \(<4\) or \(>20\), or platelet drop \( 50\) add one. Coagulation grounding from ISTH DIC and SOFA ; not complete DIC score.",41,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 41); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-12,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,180,181,83.23866,"Exact clinical-source support remains incomplete for the MIMIC chronic-burden, metabolic/electrolyte/acid-base, and cardiac-strain rule clauses. These rows are therefore retained only as project-specific proxy definitions pending qualified clinical review.",46,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 46); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-13,thesis-writing/thesis/chapters/07_causal_methodology.tex,40,40,5.13518,Outcome Mortality endpoint. OUT\ InHospitalMortality. OUT\ MORTALITY.,54,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 54); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-14,thesis-writing/thesis/chapters/07_causal_methodology.tex,130,131,9.51868,"For model-based heterogeneous effects, the pipeline includes EconML double-machine-learning estimators and an exploratory CausalPFN branch. The prespecified hierarchy treats CausalForestDML as primary, LinearDML as the secondary comparator, and CausalPFN as exploratory. Double machine learning estimates nuisance outcome and treatment models and then estimates treatment effects after residualization, reducing sensitivity to nuisance-model overfitting under appropriate assumptions . The LinearDML branch uses random-forest nuisance models with a linear final effect model. The CausalForestDML branch uses the same random-forest nuisance-model family and a causal forest final stage, drawing on generalized random-forest and causal-forest ideas for heterogeneous treatment effects . This modeling choice is consistent with the broader use of machine learning for individualized treatment-effect estimation in electronic health record and critical-care settings, while still requiring domain-specific validation .",64,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 64); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-15,thesis-writing/thesis/chapters/07_causal_methodology.tex,149,149,6.25010,"CausalForestDML EconML CausalForestDML with random-forest nuisance models and a causal-forest final stage. Patient-level CATE, optional intervals, feature importance, model artifact, global summaries. Flexible heterogeneity estimate; feature importance is a model diagnostic, not mechanism proof.",64,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 64); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-16,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,31,32,15.80530,Final Hamming distance and sufficient-pair flags matching causal effect.py; matching summaries Similarity under the binary matching representation and support warnings Similarity in the original covariate space or a target-population guarantee implemented; archived Matching failure reason Per-treatment summaries; cross-run matching-failure table Why a matching contrast was not produced A zero effect or absence of an exposure effect archived,67,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 67); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-17,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,44,45,88.74751,"During non-PFN fitting, \texttt{cate\_estimation.py} records whether \texttt{robustness\_value}, \texttt{sensitivity\_interval}, \texttt{sensitivity\_summary}, \texttt{summary}, and residual access are available.",68,YES,NO,NO,Consecutive unbreakable inline typewriter identifiers forced the first line past the right margin.,MATERIAL_DEFECT,YES,YES,"Inserted local \allowbreak points after identifier underscores. Final build has a single 36.04349-pt diagnostic at this line, but 300-DPI inspection confirms no visible margin intrusion or clipping.",The baseline 300-DPI render showed visible right-margin extension. The exact identifier text and prose were preserved; only legal breakpoints were added. Adjacent physical pages 67 and 69 were rechecked at 300 DPI.
OVERFULL-18,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,44,45,14.20638,"The same API-availability paragraph continues with the sensitivity-parameter snapshot, residual availability, estimator metadata, artifact schema version, and package/environment fields.",68,YES,NO,NO,The same long identifier paragraph constrained the later line break.,MINOR_DEFECT,YES,YES,"The local identifier breakpoints removed this separate warning; the remaining line-level 36.04349-pt diagnostic is visually benign at 300 DPI.",The pre-repair line extended slightly past the right margin. It was eliminated by the same local \\allowbreak repair; no prose or numerical token or citation or label or table or figure or caption changed.
OVERFULL-19,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,62,63,8.95082,Diagnostic type Source stage Applicable estimators Required saved object Output form Interpretation boundary,68,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 68); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-20,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,66,67,8.95082,Diagnostic type Source stage Applicable estimators Required saved object Output form Interpretation boundary,68,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 68); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-21,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,75,75,2.64183,CausalPFN diagnostic status Orchestration CausalPFN N/A for EconML workflow Skipped/not applicable status Absence is not a zero diagnostic,68,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 68); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-22,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,91,92,36.77519,"Configuration validation is a separate reproducibility control. The Python and shell validators check the compact dataset-config schema and invoke active scripts with --validate-config-only; router tests additionally exercise command parsing and construction. The causal orchestrator writes run\ summary.json with resolved stage commands, paths, statuses, timestamps, and expected outputs, while CATE and saved-analysis control-message CSVs record field-level provenance. These are different evidence layers: schema/config validation, command-construction validation, stage execution status, artifact existence, and scientific validity. A successful config check does not prove full execution, and a successful stage status does not validate a causal claim.",70,NO,NO,NO,TeX line-breaking diagnostic for a locally unbreakable text run.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 70); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-23,thesis-writing/thesis/chapters/09_experimental_design.tex,19,19,5.06506,Dataset Model family Pretraining support Input representation Primary output Final-artifact status Provenance limitation,72,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 72); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-24,thesis-writing/thesis/chapters/09_experimental_design.tex,23,23,5.06506,Dataset Model family Pretraining support Input representation Primary output Final-artifact status Provenance limitation,72,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 72); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-25,thesis-writing/thesis/chapters/09_experimental_design.tex,26,26,4.40337,"PhysioNet 2012 and MIMIC-III STraTS Available for STraTS family Split-aware irregular time series and proxy-label targets Multi-label predictions and exported proxy-state columns Training summary and export archived Split, checkpoint, command, and copy lineage incomplete",72,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 72); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-28,thesis-writing/thesis/chapters/09_experimental_design.tex,36,37,15.20796,"The orchestrator orders the stages as graph construction, majority vote, mortality prediction, matching, CATE estimation, saved-CATE analysis, and permutation tests. It assigns stage-specific output directories and logs, writes commands and status fields to run\ summary.json, verifies required outputs, and records enabled, failed, or skipped stages. The CausalPFN run summaries record the saved-CATE analysis and permutation stages as skipped because that branch does not use the EconML diagnostic workflow; this is an estimator-specific limitation rather than an execution failure.",73,NO,NO,NO,TeX line-breaking diagnostic for a locally unbreakable text run.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 73); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-29,thesis-writing/thesis/chapters/09_experimental_design.tex,50,51,11.67737,Dataset Estimator Sampling condition Graph Exposure source Diagnostics expected Archived run status Configuration provenance,74,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 74); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-30,thesis-writing/thesis/chapters/09_experimental_design.tex,54,55,11.67737,Dataset Estimator Sampling condition Graph Exposure source Diagnostics expected Archived run status Configuration provenance,74,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 74); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-31,thesis-writing/thesis/chapters/09_experimental_design.tex,57,57,3.26768,"PhysioNet 2012 and MIMIC-III CausalForest DML Original cohort Dataset-specific project graph Majority-vote binary proxy-state columns Matching, saved-CATE analysis, and permutations Archived run family with stage records Numbered producing config path recorded; local file missing",74,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 74); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-32,thesis-writing/thesis/chapters/09_experimental_design.tex,58,58,3.26768,"PhysioNet 2012 and MIMIC-III LinearDML Original cohort Dataset-specific project graph Majority-vote binary proxy-state columns Matching, saved-CATE analysis, and permutations Archived run family with stage records Numbered producing config path recorded; local file missing",74,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 74); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-33,thesis-writing/thesis/chapters/09_experimental_design.tex,59,59,3.26768,PhysioNet 2012 and MIMIC-III CausalPFN Original cohort Dataset-specific project graph Majority-vote binary proxy-state columns Matching; CATE; EconML diagnostics not applicable Archived run family; later diagnostic stages skipped Numbered producing config path recorded; local file missing,74,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 74); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-34,thesis-writing/thesis/chapters/09_experimental_design.tex,60,60,15.13905,"PhysioNet 2012 and MIMIC-III CausalForest DML, LinearDML, CausalPFN Outcome-downsampled cohort Dataset-specific project graph Majority-vote binary proxy-state columns Same family-specific checks, interpreted for a different empirical population Archived run families with stage records Numbered producing config path recorded; downsampling setting needs manifest confirmation",74,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 74); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-35,thesis-writing/thesis/chapters/09_experimental_design.tex,60,60,3.26768,"PhysioNet 2012 and MIMIC-III CausalForest DML, LinearDML, CausalPFN Outcome-downsampled cohort Dataset-specific project graph Majority-vote binary proxy-state columns Same family-specific checks, interpreted for a different empirical population Archived run families with stage records Numbered producing config path recorded; downsampling setting needs manifest confirmation",74,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 74); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-36,thesis-writing/thesis/chapters/09_experimental_design.tex,84,84,6.40327,Reproducibility element Available evidence Missing evidence Impact Required resolution,76,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 76); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-37,thesis-writing/thesis/chapters/09_experimental_design.tex,88,88,6.40327,Reproducibility element Available evidence Missing evidence Impact Required resolution,76,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 76); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-38,thesis-writing/thesis/chapters/09_experimental_design.tex,92,93,7.71349,"Dataset configs Local compact defaults and archived config paths Numbered final-run config CSVs and hashes Exact archived settings remain configuration-incomplete Configuration recovery Raw data and processed artifacts Code contracts and path references Access record, hashes, and processing manifest Cohort lineage cannot be reproduced from the archive alone Data manifest and authorized access",76,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 76); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-39,thesis-writing/thesis/chapters/09_experimental_design.tex,96,97,1.30772,"Software environment Active metadata collection and intended requirements Producing environment for older final runs where absent Version compatibility cannot be assumed Producing-environment record Hardware environment Limited device fields where archived CPU, RAM, GPU, node, and OS details where absent Hardware claims must remain incomplete Producing-environment record",76,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 76); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-40,thesis-writing/thesis/chapters/09_experimental_design.tex,97,98,1.30772,"Hardware environment Limited device fields where archived CPU, RAM, GPU, node, and OS details where absent Hardware claims must remain incomplete Producing-environment record Result checksums and prompt/clinical review Result hashes plus partial source and prompt records Prompt-run settings and clinical-review record Review and artifact lineage remain incomplete Human and clinical review",76,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 76); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-41,thesis-writing/thesis/chapters/09_experimental_design.tex,98,98,6.54564,Result checksums and prompt/clinical review Result hashes plus partial source and prompt records Prompt-run settings and clinical-review record Review and artifact lineage remain incomplete Human and clinical review,76,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 76); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-42,thesis-writing/thesis/chapters/10_results.tex,298,299,3.35918,"The outcome-downsampled analyses retained all outcome-positive records and sampled outcome-negative records, producing 6,486 MIMIC rows and 2,276 PhysioNet rows with sample outcome rates of 0.500. These are different empirical populations from the original cohorts, so their mean estimates are neither pooled with nor treated as estimates of the same population quantity.",86,NO,NO,NO,TeX line-breaking diagnostic for a locally unbreakable text run.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 86); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-43,thesis-writing/thesis/chapters/10_results.tex,300,301,4.64316,"Direction was preserved in 55 of 57 matched original-versus-downsampled estimator--exposure comparisons. CausalForestDML retained direction for all 19 comparisons. LinearDML changed direction only for PhysioNet LAT COAG HEME DYSFUNCTION, from 0.0041 to $-0.0174$; CausalPFN changed direction only for PhysioNet LAT SHOCK, from 0.0041 to $-0.0413$. All 57 paired means changed numerically, so magnitude changes were widespread and not confined to the two sign changes. This does not strengthen causal evidence because the sampled population changed.",86,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 86); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
