path,line_or_section,current_claim,classification,required_action,evidence_source,citation_key,final_status
thesis-writing/audit/experiment_inventory.csv,line 20,"causal_physionet_forest_original,causal,physionet,effect_estimation,CausalForest,original,outputs-physionet-forest,not_applicable,not_applicable,""majority-vote tags; PhysioNet processed pickle; PhysioNet DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-1.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-physionet-forest"",""final-results/causal-outputs/outputs-physionet-forest/run_summary.json"",""final-results/causal-outputs/outputs-physionet-forest/logs/*.log"",yes,yes,yes,yes,partial,yes,""All seven stages success; CATE rows 10; sensitivity/permutation present; selected CATE summary file is physionet_global_summary.csv rather than global_summary.csv.""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 21,"causal_physionet_forest_downsample,causal,physionet,effect_estimation,CausalForest,downsampled,outputs-physionet-forest-downsample,not_applicable,not_applicable,""majority-vote tags; PhysioNet processed pickle; PhysioNet DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-2.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-physionet-forest-downsample"",""final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json"",""final-results/causal-outputs/outputs-physionet-forest-downsample/logs/*.log"",yes,yes,yes,yes,partial,yes,""All seven stages success; CATE rows 10; sensitivity/permutation present; config CSV [CONFIGURATION MISSING].""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 22,"causal_physionet_linear_original,causal,physionet,effect_estimation,LinearDML,original,outputs-physionet-linear,not_applicable,not_applicable,""majority-vote tags; PhysioNet processed pickle; PhysioNet DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-3.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-physionet-linear"",""final-results/causal-outputs/outputs-physionet-linear/run_summary.json"",""final-results/causal-outputs/outputs-physionet-linear/logs/*.log"",yes,yes,yes,yes,partial,yes,""All seven stages success; CATE rows 10; sensitivity/permutation present; config CSV [CONFIGURATION MISSING].""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 23,"causal_physionet_linear_downsample,causal,physionet,effect_estimation,LinearDML,downsampled,outputs-physionet-linear-downsample,not_applicable,not_applicable,""majority-vote tags; PhysioNet processed pickle; PhysioNet DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-4.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-physionet-linear-downsample"",""final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json"",""final-results/causal-outputs/outputs-physionet-linear-downsample/logs/*.log"",yes,yes,yes,yes,partial,yes,""All seven stages success; CATE rows 10; sensitivity/permutation present; config CSV [CONFIGURATION MISSING].""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 24,"causal_physionet_pfn_original,causal,physionet,effect_estimation,CausalPFN,original,outputs-physionet-pfn,not_applicable,not_applicable,""majority-vote tags; PhysioNet processed pickle; PhysioNet DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-5.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-physionet-pfn"",""final-results/causal-outputs/outputs-physionet-pfn/run_summary.json"",""final-results/causal-outputs/outputs-physionet-pfn/logs/*.log"",yes,yes,partial,partial,partial,yes,""Graph, majority_vote, mortality_prediction, matching, and CATE success; analyze_cate_results and permutations_test intentionally skipped for PFN; CATE rows 10.""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 25,"causal_physionet_pfn_downsample,causal,physionet,effect_estimation,CausalPFN,downsampled,outputs-physionet-pfn-downsample,not_applicable,not_applicable,""majority-vote tags; PhysioNet processed pickle; PhysioNet DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-6.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-physionet-pfn-downsample"",""final-results/causal-outputs/outputs-physionet-pfn-downsample/run_summary.json"",""final-results/causal-outputs/outputs-physionet-pfn-downsample/logs/*.log"",yes,yes,partial,partial,partial,yes,""Graph, majority_vote, mortality_prediction, matching, and CATE success; sensitivity/permutation intentionally skipped for PFN; CATE rows 10.""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/logs/stage_4_9A_evidence_report.md,line 46,"| `banda_2018_electronic_phenotyping` | core | `papers/phenotyping_ehr_banda_et_al_2018.pdf`; present | A/I, rule/model taxonomy, validation discussion | Electronic-phenotyping sources and evolution from rules to learned methods | Does not validate the project's rule-derived proxy states | Electronic phenotyping |",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 48,"| `ratner_et_al_2020_snorkel` | core | `papers/phenotyping_weak_supervision_snorkel_ratner_et_al_2020.pdf`; downloaded | A/I/M, label model, applications, limitations | Programmatic labeling functions and learned source-dependency/accuracy aggregation | Project majority voting is explicitly not claimed to implement Snorkel | Weak supervision and label aggregation |",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 57,"| `pearl_1995_causal_diagrams` | core | `papers/causal_causal_diagrams_pearl_1995.pdf`; present | I, graphical criteria/backdoor material, examples | DAG paths, colliders, and adjustment-set reasoning | Does not validate project-specified arrows or exchangeability | DAGs and adjustment |",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 79,| Proxy Phenotyping and Weak Supervision | 4 | 816 |,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 107,- Weak-supervision source: `ratner_et_al_2020_snorkel`.,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 108,- Learned weak supervision estimates source quality/dependency and aggregates probabilistically; the thesis uses deterministic majority voting over model-generated proxy labels. Chapter 2 expressly says the latter is not a learned Snorkel label model.,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 109,"- Diagnosis-language boundary: project constructs are analytical proxy states, not chart-adjudicated diagnoses, validated phenotypes, clinical consensus, or ground truth. External definitions are conceptual anchors and do not validate the project rules.",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 116,"| DAGs and adjustment | `pearl_1995_causal_diagrams` | Project-specified DAGs guide observed-variable adjustment; arrows, completeness, temporal order, and exchangeability are not validated |",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 163,| `pearl_1995_causal_diagrams` | 1 | primary method | DAG/backdoor/collider reasoning | present |,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 165,| `ratner_et_al_2020_snorkel` | 1 | primary system/method | learned weak-supervision aggregation | downloaded |,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 186,4. Project rules produce analytical proxy states; model outputs are predicted proxy labels; deterministic voting aggregates them.,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 187,"5. Project-specified, dataset-specific DAGs guide observed-variable adjustment.",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 189,"7. The thesis integrates irregular-series prediction, proxy-state construction, DAG-guided estimation, and diagnostics through an evidence-tracked interface.",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 190,"8. LLM prompts contributed candidate proxy-state and DAG design provenance only; they were not an executed estimator, discovery method, expert, or source of validation.",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 198,- Retained precise gates for a primary CausalPFN source; clinical review of proxy definitions; literature-rule family coverage; the LLM-literature decision; and supervisor ratification of related-work framing.,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_9A_evidence_report.md,line 199,"- Added `DF-4.9A-001` through `DF-4.9A-010`: CausalPFN primary source, clinical proxy source coverage, LLM literature decision, Chapter 1/2 overlap, Chapter 2/6 overlap, Chapter 2/7 overlap, historical excluded-model metadata, core-versus-optional classification, two missing PDFs, and the Stage 4.9B whole-thesis citation/bibliography audit.",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/audit/terminology_map.md,line 9,"| Time-series identifier | patient id, record id, stay id, `ts_id`, `icustay_id` | PhysioNet `ts_id`; MIMIC `ts_id` with `icustay_id` alias in config | Primary row identifier joining time-series, outcomes, proxy states, and predictions. | preprocessing scripts, `dataset_config.py`, `STraTS/src/dataset.py` | All patient-level CSVs in `final-results/` | time-series/stay identifier `ts_id` | patient identity | MIMIC alternate ID mapping should be clarified if writing cohort details. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 10,"| Latent variable | latent, latent state, `LAT_*` | PhysioNet includes `LAT_CHRONIC_BASELINE_RISK`; MIMIC includes `LAT_CHRONIC_BURDEN` | Binary clinical proxy-state variable derived from rules, model predictions, or majority vote. | taggers, STraTS export, causal config `LATENT_ORDER` | `latent_tags*.csv`, CATE treatment columns | latent proxy state | verified diagnosis | Source may be rule-based, predicted, or majority-voted. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 11,"| Latent tag | tag, binary tag, latent label | `LAT_*` columns | Realized 0/1 value for a latent/proxy state for one `ts_id`. | `tagging_latent_variables_*.py`, `split_predicted_latent_tags.py`, `majority_vote_latents.py` | patient-level tag CSVs | binary proxy-state tag | diagnosis label | Prediction exports include both probability and binary tag columns. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 12,"| Proxy state | clinical proxy state, proxy phenotype, weak clinical label | all `LAT_*` names | Interpretable, rule/prediction-derived state intended to summarize clinical condition. | tagger decision trees, STraTS predicted exports | `final-results/trees/`, `final-results/causal-outputs/*/majority_vote/` | derived clinical proxy state | verified disease, confirmed diagnosis | Needs explicit source: rule-based, predicted, or majority-vote. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 13,"| Proxy phenotype | proxy state, clinical phenotype | all `LAT_*` names | Same conceptual family as proxy state, emphasizing phenotype-like construct. | tagger source and literature guidance | proxy tables and causal treatments | proxy phenotype when discussing construct design | disease phenotype confirmed by chart review | Validation level differs by dataset. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 15,"| Rule-based proxy state | rule tag, tree tag | MIMIC `latent_tags.csv`; PhysioNet `physionet-latent-tags.csv` | Proxy state generated by hand-coded decision rules. | tagger scripts and decision tree functions | `final-results/trees/` | rule-based proxy state | model-discovered diagnosis | Decision tree pickles were not deserialized. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 16,"| Predicted proxy state | predicted latent tag, predicted tag | STraTS `predicted_*` CSV binary columns | Proxy-state prediction exported from trained time-series model. | `STraTS/src/main.py::export_latent_predictions` | `final-results/strats-outputs/predicted*_latent_tags*.csv` | predicted proxy-state label | measured clinical state | Prediction split appears `all` in wrappers; exact archive command not fully captured. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 17,"| Majority-vote proxy state | majority-vote latent tag, aggregated latent tag | `latent_tags_majority_vote.csv` | Binary proxy state aggregated from multiple voter CSVs. | `src/majority_vote_latents.py` | `outputs-*/majority_vote/latent_tags_majority_vote.csv` | majority-vote proxy state used in causal pipeline | diagnosis, consensus clinical truth | Voter input directory is absolute and not archived. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 18,"| Treatment | exposure, intervention variable, treatment latent | CATE treatment columns are `LAT_*` states | Binary variable treated as exposure/treatment in matching/CATE scripts. | `TREATMENTS` in config, CATE/matching scripts | CATE and matching summaries | treatment/exposure proxy state | intervention unless well-defined | For illness states, intervention interpretation is high risk. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 19,"| Exposure | treatment, proxy exposure | `LAT_*` treatment concepts | Observed/proxy condition whose association/effect is estimated. | CATE and matching scripts | CATE/matching tables | exposure proxy state | randomized treatment | Use when intervention language would be too strong. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 22,"| Confounder | adjustment variable, W, observed confounder | background features and selected `LAT_*` ancestors | Variable adjusted for in matching/CATE based on DAG logic. | `matching_causal_effect.py`, `cate_estimation.py` | `observed_confounders` columns, `confounder_analysis.txt` | observed adjustment variable/confounder under DAG | proven complete confounder set | Missing graph candidates may exist; unmeasured confounding remains. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 24,"| Adjustment set | backdoor set, confounder set | observed confounder lists | Selected DAG-derived set used for adjustment or matching. | matching/CATE graph logic | `observed_confounders`, `missing_graph_candidates` | DAG-derived observed adjustment set | complete causal adjustment proof | Depends on available columns and config. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 25,"| DAG | causal graph, graph | `*_causal_graph.pkl`, `*_causal_dag.png` | Project-specified directed acyclic graph, informed by LLM-assisted elicitation and encoded in source code, used for adjustment logic. | `physionet2012_causal_graph.py`, `mimiciii_causal_graph.py` | `graph/` folders in causal runs | project-specified DAG; LLM-assisted design provenance | learned causal graph; clinically validated DAG | Exact clinical approval status and human-review record [ADVISOR DECISION REQUIRED]. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",darvariu_et_al_2024_llm_causal_graph_priors,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 26,"| Matching | matched-pair baseline, greedy Hamming matching | matching stage | Greedy matching on binary/preprocessed confounders to compare treated/control outcomes. | `matching_causal_effect.py` | `matching/global_summary.csv`, `matched_pairs.csv`, cross-run matching table | DAG-guided matched-pair baseline | ATE unless justified | Some treatments fail due no binary matching columns. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 43,"| Adjusted effect estimate | DAG-adjusted estimate, estimated effect | CATE/matching summaries | Estimate after applying adjustment logic under assumptions. | matching/CATE scripts | global summaries and cross-run tables | adjusted effect estimate under project assumptions | proven causal effect | Requires assumptions, overlap, sensitivity caveats. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/terminology_map.md,line 44,"| Causal interpretation | causal claim, effect claim | none as direct artifact | Interpretation layer that requires estimand, DAG, assumptions, support, sensitivity, and clinical review. | method code and documentation | candidate claim ledger only | cautiously interpreted estimated effect | clinical causal truth | Many claims remain [ADVISOR DECISION REQUIRED]. |",correct and retained,"Retain the qualified claim; keep implementation, clinical, and causal boundaries explicit.","Active source, repository artifacts, and existing scoped citations.",,RETAINED — correct and qualified
thesis-writing/audit/figure_table_inventory.md,line 7,| Inventory ID | Artifact path | Artifact type | Dataset | Model or estimator | Treatment or proxy state | Source data | Generation script or function | Aggregation level | Caption-ready interpretation | Evidence class | Validation required | Thesis suitability | Status | Notes |,implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
