requirement_id,requirement_category,requirement_text,authoritative_source,source_page_or_location,locally_checkable,current_implementation,evidence,status,repair_required,external_input_required,responsible_owner,notes
BGU-5.4-020,bibliography_consistency,References must be systematic and uniform,thesis-writing/general-instructions.pdf,p.3 secs.16-17,YES,"numeric biblatex style with Biber","main.tex lines 27-29; final build has 0 undefined citations and 0 Biber errors",COMPLIANT_WITH_QUALIFICATION,NO,NO,Thesis maintainer,"biblatex reports the non-fatal Hebrew-language dummy-definition warning; bibliography rendering is otherwise consistent."
BGU-5.4-021,appendix_placement,Appendices precede bibliography,thesis-writing/general-instructions.pdf,p.3 sec.19(j-l),YES,"Appendix A is before bibliography","main.tex lines 72-78; rendered PDF pages 93-97",COMPLIANT,NO,NO,Thesis maintainer,"Appendix numbering is alphabetic."
BGU-5.4-022,thesis_language,Hebrew is the default thesis language; English submission needs departmental authorization and Hebrew abstract,thesis-writing/general-instructions.pdf,p.1 sec.12.a.2(a),PARTLY,"Main text is English and Hebrew abstract is present","main.tex line 5; abstract_secondary.tex; no authorization record in repository",EXTERNALLY_GATED,NO,YES,Department,"Do not infer approval from the English source setting or example thesis."
BGU-5.4-023,current_faculty_forms,Cover and internal title pages must follow current faculty form examples,thesis-writing/general-instructions.pdf,p.2 sec.5(8-9); p.3 sec.19,NO,"Provisional title/approval pages are deliberately not rendered","main.tex lines 44-48; local PDF names forms system but supplies no current form",EXTERNALLY_GATED,NO,YES,Faculty/department,"Current forms must be obtained outside this repository."
BGU-5.4-024,title_page_structure,Title-page content and sequence must match the current authorized form,thesis-writing/general-instructions.pdf,p.2 sec.5(9); p.3 sec.19,NO,"No title page renders pending authoritative metadata and form","main.tex lines 44-48",EXTERNALLY_GATED,NO,YES,Faculty/department,"The local instructions do not establish the exact current English-thesis title-page sequence."
BGU-5.4-025,internal_approval_page,Internal approval/signature wording must follow the current authorized form,thesis-writing/general-instructions.pdf,p.1 sec.12.a.2(a); p.2 sec.5(9),NO,"No approval page renders","main.tex lines 44-48",EXTERNALLY_GATED,NO,YES,Faculty/department,"No signature block or approval statement was invented."
BGU-5.4-026,degree_wording,Official degree wording is required on the official form,thesis-writing/general-instructions.pdf,p.2 sec.5(8-9),NO,"Centralized non-rendered placeholder only","frontmatter/administrative_metadata.tex line 9",EXTERNALLY_GATED,NO,YES,Department/faculty,"No degree was inferred from repository context."
BGU-5.4-027,department_wording,Official department wording is required on the official form,thesis-writing/general-instructions.pdf,p.2 sec.5(8-9),NO,"Centralized non-rendered placeholder only","frontmatter/administrative_metadata.tex lines 7-8",EXTERNALLY_GATED,NO,YES,Department/faculty,"No department was inferred from directory names."
BGU-5.4-028,submission_date,Official submission month and year are required on the official form,thesis-writing/general-instructions.pdf,p.2 sec.5(8-9),NO,"Centralized non-rendered placeholder only","frontmatter/administrative_metadata.tex line 11",EXTERNALLY_GATED,NO,YES,Author/department,"No date was inferred from file metadata."
BGU-5.4-029,supervisor_author_information,Author and supervisor information must be the official form values,thesis-writing/general-instructions.pdf,p.1 sec.12.a.2(a); p.2 sec.5(8-9),NO,"Centralized non-rendered placeholders only","frontmatter/administrative_metadata.tex lines 5-6 and 10",EXTERNALLY_GATED,NO,YES,Author/supervisor/department,"No identity was inferred from Git or repository metadata."
BGU-5.4-030,hebrew_title,An official Hebrew title is needed for the final bilingual submission materials,thesis-writing/general-instructions.pdf,p.1 sec.12.a.2(a); current-form dependent,NO,"Centralized non-rendered placeholder only","frontmatter/administrative_metadata.tex line 4",EXTERNALLY_GATED,NO,YES,Author/supervisor/department,"No Hebrew translation was invented."
BGU-5.4-031,acknowledgements,Acknowledgements are included in the local sequence when present,thesis-writing/general-instructions.pdf,p.3 sec.19(e),YES,"Acknowledgements are omitted because no author-approved text exists","frontmatter/acknowledgements.tex; no input in main.tex",NOT_APPLICABLE,NO,YES,Author,"Absence is an author-content choice, not evidence of missing oversight."
BGU-5.4-032,document_sequence,Exact final English-thesis front/back-matter sequence must follow current faculty forms,thesis-writing/general-instructions.pdf,p.1 sec.12.a.2(a); p.3 sec.19,PARTLY,"Current rendered sequence: Hebrew abstract; English abstract; keywords; TOC; nomenclature; lists; body; appendix; bibliography","main.tex lines 44-78; rendered PDF",SOURCE_AMBIGUOUS,NO,YES,Faculty/department,"The local Hebrew-default sequence is authoritative, but it does not settle the exact current English-thesis form sequence."
BGU-5.4-033,raw_placeholders,No raw drafting placeholder may render in the final PDF,Stage 5.4 task instruction,sec.12,YES,"Title/approval input is not rendered; no banned raw placeholder token found in the PDF text","main.tex lines 44-48; pdftotext and source scan",COMPLIANT,YES,YES,Thesis maintainer,"Stage 5.4 removed rendered administrative-gate pages rather than fabricate fields."
BGU-5.4-034,blank_administrative_page,No blank administrative page may be presented as complete,Stage 5.4 task instruction,sec.15,YES,"No title or approval page is rendered until official content exists","main.tex lines 44-48; rendered PDF begins with Hebrew abstract",COMPLIANT,YES,YES,Thesis maintainer,"The omission is intentional and recorded as an external submission gate."
