numeric_id,file,line,excerpt,numeric_expression,normalized_value,classification,authoritative_source,exact_source_location,source_value,sampling_condition,estimator,dataset,status,required_action,notes
N0014,thesis-writing/thesis/main.tex,68,\input{chapters/03_problem_definition_study_design},03,03,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,03,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0015,thesis-writing/thesis/main.tex,69,\input{chapters/04_data_preprocessing},04,04,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,04,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0016,thesis-writing/thesis/main.tex,70,\input{chapters/05_proxy_state_construction},05,05,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,05,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0017,thesis-writing/thesis/main.tex,71,\input{chapters/06_predictive_modeling},06,06,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,06,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0018,thesis-writing/thesis/main.tex,72,\input{chapters/07_causal_methodology},07,07,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,07,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0019,thesis-writing/thesis/main.tex,73,\input{chapters/08_robustness_sensitivity_validation},08,08,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,08,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0020,thesis-writing/thesis/main.tex,74,\input{chapters/09_experimental_design},09,09,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,09,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0021,thesis-writing/thesis/main.tex,75,\input{chapters/10_results},10,10,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,10,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0022,thesis-writing/thesis/main.tex,76,\input{chapters/11_discussion},11,11,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,11,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0023,thesis-writing/thesis/main.tex,77,\input{chapters/12_conclusions_future_work},12,12,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,12,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0024,thesis-writing/thesis/frontmatter/abstract_primary.tex,6,"The workflow is evaluated separately in the PhysioNet 2012 and MIMIC-III cohorts. It combines dataset-specific preprocessing, deterministic rule-derived proxy states, multi-label proxy-state prediction, normalization and algorithmic aggregation of prediction outputs, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment, descriptive ",2012,2012,DATASET_YEAR,approved dataset citation and naming convention,references.bib and catalog.csv,2012,NOT_APPLICABLE,matching,MIMIC-III,SOURCE_SUPPORTED,NONE,Dataset year.
N0025,thesis-writing/thesis/frontmatter/abstract_primary.tex,8,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; Caus",19,19,RESULT_COUNT,checked CATE table and audited Chapter 10 synthesis,checked_cate_candidates.csv; Chapter 10,19,original cohort primary,CausalForestDML;LinearDML;CausalPFN;matching,MIMIC-III,MATCHED,NONE,Abstract repetition matched.
N0026,thesis-writing/thesis/frontmatter/abstract_primary.tex,8,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; Caus",18,18,RESULT_COUNT,checked CATE table and audited Chapter 10 synthesis,checked_cate_candidates.csv; Chapter 10,18,original cohort primary,CausalForestDML;LinearDML;CausalPFN;matching,MIMIC-III,MATCHED,NONE,Abstract repetition matched.
N0027,thesis-writing/thesis/frontmatter/abstract_primary.tex,8,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; Caus",19,19,RESULT_COUNT,checked CATE table and audited Chapter 10 synthesis,checked_cate_candidates.csv; Chapter 10,19,original cohort primary,CausalForestDML;LinearDML;CausalPFN;matching,MIMIC-III,MATCHED,NONE,Abstract repetition matched.
N0028,thesis-writing/thesis/frontmatter/abstract_secondary.tex,7,"זרימת העבודה נבחנת בנפרד בעוקבות PhysioNet 2012 ו-MIMIC-III. היא משלבת עיבוד מקדים ייחודי לכל מערך נתונים, מצבי פרוקסי דטרמיניסטיים שמקורם בכללים, חיזוי רב-תוויתי, נרמול ואיגוד אלגוריתמי של פלטים, גרפים מכוונים חסרי מעגלים (DAGs) המוגדרים בפרויקט, התאמה ייחודית לחשיפה, התאמה תיאורית, אמידת השפעות הטרוגניות, ובדיקות חוסן ופרובננס. ההערכה החיזויית משווה חמש מש",2012,2012,DATASET_YEAR,approved dataset citation and naming convention,references.bib and catalog.csv,2012,NOT_APPLICABLE,NOT_APPLICABLE,MIMIC-III,SOURCE_SUPPORTED,NONE,Dataset year.
N0029,thesis-writing/thesis/frontmatter/abstract_secondary.tex,9,"בסיכומי CausalForestDML הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של MIMIC-III היו חיוביים; תשעה מתוך עשרת הסיכומים של PhysioNet היו חיוביים, וסיכום ההלם היה שלילי. CausalForestDML ו-LinearDML הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; CausalPFN נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי ה",19,19,RESULT_COUNT,checked CATE table and audited Chapter 10 synthesis,checked_cate_candidates.csv; Chapter 10,19,NOT_APPLICABLE,CausalForestDML;LinearDML;CausalPFN,MIMIC-III,MATCHED,NONE,Abstract repetition matched.
N0030,thesis-writing/thesis/frontmatter/abstract_secondary.tex,9,"בסיכומי CausalForestDML הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של MIMIC-III היו חיוביים; תשעה מתוך עשרת הסיכומים של PhysioNet היו חיוביים, וסיכום ההלם היה שלילי. CausalForestDML ו-LinearDML הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; CausalPFN נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי ה",18,18,RESULT_COUNT,checked CATE table and audited Chapter 10 synthesis,checked_cate_candidates.csv; Chapter 10,18,NOT_APPLICABLE,CausalForestDML;LinearDML;CausalPFN,MIMIC-III,MATCHED,NONE,Abstract repetition matched.
N0031,thesis-writing/thesis/frontmatter/abstract_secondary.tex,9,"בסיכומי CausalForestDML הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של MIMIC-III היו חיוביים; תשעה מתוך עשרת הסיכומים של PhysioNet היו חיוביים, וסיכום ההלם היה שלילי. CausalForestDML ו-LinearDML הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; CausalPFN נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי ה",19,19,RESULT_COUNT,checked CATE table and audited Chapter 10 synthesis,checked_cate_candidates.csv; Chapter 10,19,NOT_APPLICABLE,CausalForestDML;LinearDML;CausalPFN,MIMIC-III,MATCHED,NONE,Abstract repetition matched.
N0032,thesis-writing/thesis/frontmatter/administrative_metadata.tex,12,\newcommand{\AdministrativeGate}[1]{\par\smallskip\noindent\textit{[#1]}\par\smallskip},1,1,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0033,thesis-writing/thesis/frontmatter/administrative_metadata.tex,12,\newcommand{\AdministrativeGate}[1]{\par\smallskip\noindent\textit{[#1]}\par\smallskip},1,1,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0034,thesis-writing/thesis/frontmatter/keywords.tex,5,Irregular clinical time series; intensive care; electronic health records; proxy states; multi-label prediction; missingness-aware modeling; directed acyclic graphs; observational causal inference; double machine learning; causal forests; heterogeneous effect estimation; sensitivity analysis; evidence provenance; MIMIC-III; PhysioNet 2012.,2012,2012,DATASET_YEAR,approved dataset citation and naming convention,references.bib and catalog.csv,2012,NOT_APPLICABLE,CausalForestDML,MIMIC-III,SOURCE_SUPPORTED,NONE,Dataset year.
N0035,thesis-writing/thesis/frontmatter/keywords.tex,9,סדרות זמן קליניות לא סדירות; טיפול נמרץ; רשומות בריאות אלקטרוניות; מצבי פרוקסי; חיזוי רב-תוויתי; מידול מודע לחוסרים; גרפים מכוונים חסרי מעגלים; הסקה סיבתית תצפיתית; למידת מכונה כפולה; יערות סיבתיים; אמידת השפעות הטרוגניות; ניתוח רגישות; פרובננס ראייתי; MIMIC-III; PhysioNet 2012.,2012,2012,DATASET_YEAR,approved dataset citation and naming convention,references.bib and catalog.csv,2012,NOT_APPLICABLE,NOT_APPLICABLE,MIMIC-III,SOURCE_SUPPORTED,NONE,Dataset year.
N0036,thesis-writing/thesis/frontmatter/nomenclature.tex,4,\begin{longtable}{@{}p{0.20\textwidth}p{0.72\textwidth}@{}},0.20,0.20,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/frontmatter/nomenclature.tex,0.20,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0037,thesis-writing/thesis/frontmatter/nomenclature.tex,4,\begin{longtable}{@{}p{0.20\textwidth}p{0.72\textwidth}@{}},0.72,0.72,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/frontmatter/nomenclature.tex,0.72,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0038,thesis-writing/thesis/frontmatter/nomenclature.tex,38,\begin{longtable}{@{}p{0.25\textwidth}p{0.67\textwidth}@{}},0.25,0.25,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/frontmatter/nomenclature.tex,0.25,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0039,thesis-writing/thesis/frontmatter/nomenclature.tex,38,\begin{longtable}{@{}p{0.25\textwidth}p{0.67\textwidth}@{}},0.67,0.67,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/frontmatter/nomenclature.tex,0.67,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0040,thesis-writing/thesis/frontmatter/title_pages.tex,5,\vspace{1.5cm},1.5,1.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0041,thesis-writing/thesis/frontmatter/title_pages.tex,7,\vspace{1.5cm},1.5,1.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0042,thesis-writing/thesis/frontmatter/title_pages.tex,9,\vspace{1.5cm},1.5,1.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0043,thesis-writing/thesis/frontmatter/title_pages.tex,13,\vspace{0.5cm},0.5,0.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,0.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0044,thesis-writing/thesis/frontmatter/title_pages.tex,15,\vspace{0.5cm},0.5,0.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,0.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0045,thesis-writing/thesis/frontmatter/title_pages.tex,25,\vspace{1cm},1,1,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0046,thesis-writing/thesis/frontmatter/title_pages.tex,27,\vspace{1.5cm},1.5,1.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0047,thesis-writing/thesis/frontmatter/title_pages.tex,29,\vspace{0.5cm},0.5,0.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,0.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0048,thesis-writing/thesis/frontmatter/title_pages.tex,31,\vspace{0.5cm},0.5,0.5,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,0.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0049,thesis-writing/thesis/chapters/01_introduction.tex,7,"Intensive-care medicine produces a particularly demanding form of longitudinal data. Electronic health records contain laboratory values, vital signs, treatments, administrative fields, and outcomes, but these quantities are neither observed on a common clock nor collected with a common purpose. Measurements occur at nonuniform times; variables are sampled a",2026,2026,CITATION_YEAR,approved bibliography/catalog,references.bib and catalog.csv,2026,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Bibliographic or literature year.
N0050,thesis-writing/thesis/chapters/01_introduction.tex,7,"Intensive-care medicine produces a particularly demanding form of longitudinal data. Electronic health records contain laboratory values, vital signs, treatments, administrative fields, and outcomes, but these quantities are neither observed on a common clock nor collected with a common purpose. Measurements occur at nonuniform times; variables are sampled a",2016,2016,CITATION_YEAR,approved bibliography/catalog,references.bib and catalog.csv,2016,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Bibliographic or literature year.
N0051,thesis-writing/thesis/chapters/01_introduction.tex,13,"Two complementary needs follow. First, an analysis must accommodate irregular longitudinal measurements rather than force all observations into an unqualified regular grid. Architectures for sparse clinical series and missingness-aware recurrent models illustrate different ways to use values, time intervals, and observation patterns \cite{tipirneni2022strats",022,022,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/chapters/01_introduction.tex,022,NOT_APPLICABLE,STraTS;GRU,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0052,thesis-writing/thesis/chapters/01_introduction.tex,13,"Two complementary needs follow. First, an analysis must accommodate irregular longitudinal measurements rather than force all observations into an unqualified regular grid. Architectures for sparse clinical series and missingness-aware recurrent models illustrate different ways to use values, time intervals, and observation patterns \cite{tipirneni2022strats",018,018,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/chapters/01_introduction.tex,018,NOT_APPLICABLE,STraTS;GRU,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0053,thesis-writing/thesis/chapters/01_introduction.tex,15,"This wording is deliberate. A rule-derived proxy label is not a chart-adjudicated diagnosis, ground truth, or a validated phenotype. A positive tag records that the project-specific source rules were satisfied for the available data; a negative tag does not establish absence of a clinical condition. Nevertheless, a transparent proxy-state layer can make the ",2018,2018,CITATION_YEAR,approved bibliography/catalog,references.bib and catalog.csv,2018,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Bibliographic or literature year.
N0054,thesis-writing/thesis/chapters/01_introduction.tex,15,"This wording is deliberate. A rule-derived proxy label is not a chart-adjudicated diagnosis, ground truth, or a validated phenotype. A positive tag records that the project-specific source rules were satisfied for the available data; a negative tag does not establish absence of a clinical condition. Nevertheless, a transparent proxy-state layer can make the ",2020,2020,CITATION_YEAR,approved bibliography/catalog,references.bib and catalog.csv,2020,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Bibliographic or literature year.
N0055,thesis-writing/thesis/chapters/01_introduction.tex,17,Prediction and causal analysis then answer different questions. Predicting a rule-derived proxy label asks whether an irregular-time-series model can reproduce that label from the available inputs. Estimating an adjusted mortality contrast for a proxy-state exposure asks a separate observational question about modeled differences in outcome under explicit as,1995,1995,CITATION_YEAR,approved bibliography/catalog,references.bib and catalog.csv,1995,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Bibliographic or literature year.
N0056,thesis-writing/thesis/chapters/01_introduction.tex,17,Prediction and causal analysis then answer different questions. Predicting a rule-derived proxy label asks whether an irregular-time-series model can reproduce that label from the available inputs. Estimating an adjusted mortality contrast for a proxy-state exposure asks a separate observational question about modeled differences in outcome under explicit as,2016,2016,CITATION_YEAR,approved bibliography/catalog,references.bib and catalog.csv,2016,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Bibliographic or literature year.
N0057,thesis-writing/thesis/chapters/01_introduction.tex,17,Prediction and causal analysis then answer different questions. Predicting a rule-derived proxy label asks whether an irregular-time-series model can reproduce that label from the available inputs. Estimating an adjusted mortality contrast for a proxy-state exposure asks a separate observational question about modeled differences in outcome under explicit as,2008,2008,CITATION_YEAR,approved bibliography/catalog,references.bib and catalog.csv,2008,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Bibliographic or literature year.
N0058,thesis-writing/thesis/chapters/01_introduction.tex,19,"The framework is exercised on PhysioNet 2012 and MIMIC-III, two public ICU time-series resources that provide complementary settings for this problem \cite{silva2012physionet,johnson2016mimiciii}. Both contain longitudinal ICU measurements and in-hospital mortality information, yet they differ in era, scale, available variables, data contracts, measurement p",2012,2012,DATASET_YEAR,approved dataset citation and naming convention,references.bib and catalog.csv,2012,NOT_APPLICABLE,NOT_APPLICABLE,MIMIC-III,SOURCE_SUPPORTED,NONE,Dataset year.
N0059,thesis-writing/thesis/chapters/01_introduction.tex,19,"The framework is exercised on PhysioNet 2012 and MIMIC-III, two public ICU time-series resources that provide complementary settings for this problem \cite{silva2012physionet,johnson2016mimiciii}. Both contain longitudinal ICU measurements and in-hospital mortality information, yet they differ in era, scale, available variables, data contracts, measurement p",012,012,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/chapters/01_introduction.tex,012,NOT_APPLICABLE,NOT_APPLICABLE,MIMIC-III,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0060,thesis-writing/thesis/chapters/01_introduction.tex,19,"The framework is exercised on PhysioNet 2012 and MIMIC-III, two public ICU time-series resources that provide complementary settings for this problem \cite{silva2012physionet,johnson2016mimiciii}. Both contain longitudinal ICU measurements and in-hospital mortality information, yet they differ in era, scale, available variables, data contracts, measurement p",016,016,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/chapters/01_introduction.tex,016,NOT_APPLICABLE,NOT_APPLICABLE,MIMIC-III,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0061,thesis-writing/thesis/chapters/01_introduction.tex,26,"Prior work offers important components for this setting. Irregular-time-series research provides representations and predictive methods for sparse, asynchronously observed medical data. Electronic phenotyping and weak supervision provide strategies for constructing useful analytical labels when direct expert adjudication is unavailable. Causal-inference rese",018,018,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/chapters/01_introduction.tex,018,NOT_APPLICABLE,CausalForestDML,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0062,thesis-writing/thesis/chapters/01_introduction.tex,26,"Prior work offers important components for this setting. Irregular-time-series research provides representations and predictive methods for sparse, asynchronously observed medical data. Electronic phenotyping and weak supervision provide strategies for constructing useful analytical labels when direct expert adjudication is unavailable. Causal-inference rese",018,018,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/chapters/01_introduction.tex,018,NOT_APPLICABLE,CausalForestDML,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
N0063,thesis-writing/thesis/chapters/01_introduction.tex,26,"Prior work offers important components for this setting. Irregular-time-series research provides representations and predictive methods for sparse, asynchronously observed medical data. Electronic phenotyping and weak supervision provide strategies for constructing useful analytical labels when direct expert adjudication is unavailable. Causal-inference rese",019,019,EDITORIAL_ORDERING,audited thesis structure or cross-thesis scope,thesis-writing/thesis/chapters/01_introduction.tex,019,NOT_APPLICABLE,CausalForestDML,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,"Ordering, scope, or non-result count."
