check_id,file,term_or_claim,context,current_boundary,status,edit_required,post_edit_boundary,notes
BOUND-0016,thesis-writing/thesis/frontmatter/abstract_primary.tex,caused,"The contribution is therefore a transparent framework for inspecting how rule-derived constructs move from irregular measurements through prediction and into observational analysis, together with checked numerical artifacts and explicit provenance boundaries. The estimates remain conditional on proxy measurement, graph, temporal-ordering, adjustment, overlap, model, and unmeasured-confounding assumptions. The thesis does not establish that a proxy state caused mortality, that changing one would change an outcome, or that the workflow is clinically valid or ready for use. Available evidence records improve numerical traceability but do not establish clean-checkout computational reproducibility; clinical review, stronger observational designs, external validation, and complete provenance remain necessary.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0017,thesis-writing/thesis/frontmatter/abstract_primary.tex,clinically,"The contribution is therefore a transparent framework for inspecting how rule-derived constructs move from irregular measurements through prediction and into observational analysis, together with checked numerical artifacts and explicit provenance boundaries. The estimates remain conditional on proxy measurement, graph, temporal-ordering, adjustment, overlap, model, and unmeasured-confounding assumptions. The thesis does not establish that a proxy state caused mortality, that changing one would change an outcome, or that the workflow is clinically valid or ready for use. Available evidence records improve numerical traceability but do not establish clean-checkout computational reproducibility; clinical review, stronger observational designs, external validation, and complete provenance remain necessary.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0018,thesis-writing/thesis/frontmatter/abstract_primary.tex,clinical,"The contribution is therefore a transparent framework for inspecting how rule-derived constructs move from irregular measurements through prediction and into observational analysis, together with checked numerical artifacts and explicit provenance boundaries. The estimates remain conditional on proxy measurement, graph, temporal-ordering, adjustment, overlap, model, and unmeasured-confounding assumptions. The thesis does not establish that a proxy state caused mortality, that changing one would change an outcome, or that the workflow is clinically valid or ready for use. Available evidence records improve numerical traceability but do not establish clean-checkout computational reproducibility; clinical review, stronger observational designs, external validation, and complete provenance remain necessary.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0019,thesis-writing/thesis/frontmatter/abstract_primary.tex,validation,"The contribution is therefore a transparent framework for inspecting how rule-derived constructs move from irregular measurements through prediction and into observational analysis, together with checked numerical artifacts and explicit provenance boundaries. The estimates remain conditional on proxy measurement, graph, temporal-ordering, adjustment, overlap, model, and unmeasured-confounding assumptions. The thesis does not establish that a proxy state caused mortality, that changing one would change an outcome, or that the workflow is clinically valid or ready for use. Available evidence records improve numerical traceability but do not establish clean-checkout computational reproducibility; clinical review, stronger observational designs, external validation, and complete provenance remain necessary.",Evidence and provenance are qualified; no unearned validation or reproducibility claim.,RETAINED—QUALIFIED,NO,Evidence and provenance are qualified; no unearned validation or reproducibility claim.,Static reader-facing occurrence reviewed.
BOUND-0020,thesis-writing/thesis/frontmatter/abstract_secondary.tex,CausalForestDML,"בסיכומי \textenglish{CausalForestDML} הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של \textenglish{MIMIC-III} היו חיוביים; תשעה מתוך עשרת הסיכומים של \textenglish{PhysioNet} היו חיוביים, וסיכום ההלם היה שלילי. \textenglish{CausalForestDML} ו-\textenglish{LinearDML} הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; \textenglish{CausalPFN} נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי הראשי ותמיכה אבחונית מקבילה עדיין אינם פתורים. התאמה מספקת הפרשי תוצא תיאוריים בזוגות תואמים, ולא אישוש של השפעת התערבות. התוצאות מדווחות בנפרד לכל מערך נתונים ואינן מאוגמות.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0021,thesis-writing/thesis/frontmatter/abstract_secondary.tex,CausalForestDML,"בסיכומי \textenglish{CausalForestDML} הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של \textenglish{MIMIC-III} היו חיוביים; תשעה מתוך עשרת הסיכומים של \textenglish{PhysioNet} היו חיוביים, וסיכום ההלם היה שלילי. \textenglish{CausalForestDML} ו-\textenglish{LinearDML} הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; \textenglish{CausalPFN} נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי הראשי ותמיכה אבחונית מקבילה עדיין אינם פתורים. התאמה מספקת הפרשי תוצא תיאוריים בזוגות תואמים, ולא אישוש של השפעת התערבות. התוצאות מדווחות בנפרד לכל מערך נתונים ואינן מאוגמות.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0022,thesis-writing/thesis/frontmatter/abstract_secondary.tex,CausalPFN,"בסיכומי \textenglish{CausalForestDML} הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של \textenglish{MIMIC-III} היו חיוביים; תשעה מתוך עשרת הסיכומים של \textenglish{PhysioNet} היו חיוביים, וסיכום ההלם היה שלילי. \textenglish{CausalForestDML} ו-\textenglish{LinearDML} הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; \textenglish{CausalPFN} נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי הראשי ותמיכה אבחונית מקבילה עדיין אינם פתורים. התאמה מספקת הפרשי תוצא תיאוריים בזוגות תואמים, ולא אישוש של השפעת התערבות. התוצאות מדווחות בנפרד לכל מערך נתונים ואינן מאוגמות.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0023,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Effect,\newcommand{\ThesisTitleEnglish}{A DAG-Guided Framework for Proxy-State Effect Estimation in Irregular ICU Time Series},Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0024,thesis-writing/thesis/frontmatter/keywords.tex,clinical,Irregular clinical time series; intensive care; electronic health records; proxy states; multi-label prediction; missingness-aware modeling; directed acyclic graphs; observational causal inference; double machine learning; causal forests; heterogeneous effect estimation; sensitivity analysis; evidence provenance; MIMIC-III; PhysioNet 2012.,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0025,thesis-writing/thesis/frontmatter/keywords.tex,causal,Irregular clinical time series; intensive care; electronic health records; proxy states; multi-label prediction; missingness-aware modeling; directed acyclic graphs; observational causal inference; double machine learning; causal forests; heterogeneous effect estimation; sensitivity analysis; evidence provenance; MIMIC-III; PhysioNet 2012.,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0026,thesis-writing/thesis/frontmatter/keywords.tex,causal,Irregular clinical time series; intensive care; electronic health records; proxy states; multi-label prediction; missingness-aware modeling; directed acyclic graphs; observational causal inference; double machine learning; causal forests; heterogeneous effect estimation; sensitivity analysis; evidence provenance; MIMIC-III; PhysioNet 2012.,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0027,thesis-writing/thesis/frontmatter/keywords.tex,effect,Irregular clinical time series; intensive care; electronic health records; proxy states; multi-label prediction; missingness-aware modeling; directed acyclic graphs; observational causal inference; double machine learning; causal forests; heterogeneous effect estimation; sensitivity analysis; evidence provenance; MIMIC-III; PhysioNet 2012.,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0028,thesis-writing/thesis/frontmatter/nomenclature.tex,Clinical,STraTS & Self-Supervised Transformer for Sparse and Irregularly Sampled Multivariate Clinical Time Series. \\,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0029,thesis-writing/thesis/frontmatter/nomenclature.tex,Treatment,CATE & Conditional Average Treatment Effect; reported here only as a model-estimated quantity under the stated assumptions. \\,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0030,thesis-writing/thesis/frontmatter/nomenclature.tex,Effect,CATE & Conditional Average Treatment Effect; reported here only as a model-estimated quantity under the stated assumptions. \\,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0031,thesis-writing/thesis/frontmatter/nomenclature.tex,Treatment,HTE & Heterogeneous Treatment Effect. \\,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0032,thesis-writing/thesis/frontmatter/nomenclature.tex,Effect,HTE & Heterogeneous Treatment Effect. \\,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0033,thesis-writing/thesis/frontmatter/nomenclature.tex,CausalPFN,CausalPFN & Exploratory model name used in the project; its primary methodological source and expansion are unresolved. \\,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0034,thesis-writing/thesis/frontmatter/nomenclature.tex,Effect,\(X_i\) & Effect-modifier features used to describe heterogeneity. \\,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0035,thesis-writing/thesis/chapters/01_introduction.tex,treatments,"Intensive-care medicine produces a particularly demanding form of longitudinal data. Electronic health records contain laboratory values, vital signs, treatments, administrative fields, and outcomes, but these quantities are neither observed on a common clock nor collected with a common purpose. Measurements occur at nonuniform times; variables are sampled at markedly different frequencies; many values are absent at most time points; and the intensity of measurement may itself reflect clinical concern, workflow, or resource use. The resulting records are high dimensional and heterogeneous across patients, care trajectories, and institutions. Irregular medical time-series methods therefore face more than a standard sequence-modeling inconvenience: they must represent the timing, absence, and changing availability of observations while preserving a defensible analytical link to the question being asked \cite{sun_2026_review_irregular_medical_timeseries,lipton_kale_wetzel_2016_missingness_rnns}.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0036,thesis-writing/thesis/chapters/01_introduction.tex,clinical,"Intensive-care medicine produces a particularly demanding form of longitudinal data. Electronic health records contain laboratory values, vital signs, treatments, administrative fields, and outcomes, but these quantities are neither observed on a common clock nor collected with a common purpose. Measurements occur at nonuniform times; variables are sampled at markedly different frequencies; many values are absent at most time points; and the intensity of measurement may itself reflect clinical concern, workflow, or resource use. The resulting records are high dimensional and heterogeneous across patients, care trajectories, and institutions. Irregular medical time-series methods therefore face more than a standard sequence-modeling inconvenience: they must represent the timing, absence, and changing availability of observations while preserving a defensible analytical link to the question being asked \cite{sun_2026_review_irregular_medical_timeseries,lipton_kale_wetzel_2016_missingness_rnns}.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0037,thesis-writing/thesis/chapters/01_introduction.tex,clinical,"The conventional convenience of a fixed, complete measurement matrix can conceal these properties. Regular resampling, imputation, or summary aggregation may be useful engineering choices, but each makes choices about temporal resolution, which observations count, and how absences are represented. A bedside monitor, a laboratory order, and a static admission field need not convey the same temporal or clinical information. Moreover, the care process can affect both the values that are available and the chance that they are recorded. A representation that ignores timing or observation patterns may discard clinically relevant structure; a representation that exploits them can improve prediction while also encoding care-process signals. This tension makes irregular ICU data a methodological problem spanning statistical representation, workflow design, and interpretation rather than solely a model-selection problem.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0038,thesis-writing/thesis/chapters/01_introduction.tex,clinically,"The conventional convenience of a fixed, complete measurement matrix can conceal these properties. Regular resampling, imputation, or summary aggregation may be useful engineering choices, but each makes choices about temporal resolution, which observations count, and how absences are represented. A bedside monitor, a laboratory order, and a static admission field need not convey the same temporal or clinical information. Moreover, the care process can affect both the values that are available and the chance that they are recorded. A representation that ignores timing or observation patterns may discard clinically relevant structure; a representation that exploits them can improve prediction while also encoding care-process signals. This tension makes irregular ICU data a methodological problem spanning statistical representation, workflow design, and interpretation rather than solely a model-selection problem.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0039,thesis-writing/thesis/chapters/01_introduction.tex,causal,"For ICU analysis, missingness and irregularity matter at every layer of a study. They influence which variables a representation can retain, which patterns a prediction model can exploit, which records satisfy a cohort definition, and whether a rule can assign an analytical label. They also complicate causal adjustment: an absent measurement can represent no measurement, a measurement outside an available window, a source-data limitation, or a clinically informative decision not to measure. Handling masks, time gaps, or sparse events can improve a predictive representation, but it does not by itself remove the interpretive consequences of the observation process. The thesis consequently treats irregularity and informative measurement as motivations for careful representation and explicit limitations, rather than as local causal findings.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0040,thesis-writing/thesis/chapters/01_introduction.tex,clinically,"For ICU analysis, missingness and irregularity matter at every layer of a study. They influence which variables a representation can retain, which patterns a prediction model can exploit, which records satisfy a cohort definition, and whether a rule can assign an analytical label. They also complicate causal adjustment: an absent measurement can represent no measurement, a measurement outside an available window, a source-data limitation, or a clinically informative decision not to measure. Handling masks, time gaps, or sparse events can improve a predictive representation, but it does not by itself remove the interpretive consequences of the observation process. The thesis consequently treats irregularity and informative measurement as motivations for careful representation and explicit limitations, rather than as local causal findings.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0041,thesis-writing/thesis/chapters/01_introduction.tex,causal,"For ICU analysis, missingness and irregularity matter at every layer of a study. They influence which variables a representation can retain, which patterns a prediction model can exploit, which records satisfy a cohort definition, and whether a rule can assign an analytical label. They also complicate causal adjustment: an absent measurement can represent no measurement, a measurement outside an available window, a source-data limitation, or a clinically informative decision not to measure. Handling masks, time gaps, or sparse events can improve a predictive representation, but it does not by itself remove the interpretive consequences of the observation process. The thesis consequently treats irregularity and informative measurement as motivations for careful representation and explicit limitations, rather than as local causal findings.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
