citation_key,chapter,section,line_or_context,citation_command,catalog_tier,catalog_topic,source_role,pdf_status,claim_family,usage_assessment,required_action,notes
wager2018causalforest,Chapter 1,Thesis Gap and Objective,line 26,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
athey2019grf,Chapter 1,Thesis Gap and Objective,line 26,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
smit_2023_causal_inference_icu_scoping_review,Chapter 1,Thesis Gap and Objective,line 26,cite,core,causal identification and DAGs,REVIEW_OR_SURVEY,present,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
bica_2021_individualized_treatment_effects_ehr_ml,Chapter 1,Thesis Gap and Objective,line 26,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
sun_2026_review_irregular_medical_timeseries,Chapter 2,ICU EHR Datasets and Irregular Sampling: Critical-care EHR time series,line 11,cite,core,irregular clinical time-series models,REVIEW_OR_SURVEY,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
lipton_kale_wetzel_2016_missingness_rnns,Chapter 2,ICU EHR Datasets and Irregular Sampling: Critical-care EHR time series,line 13,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
che2018grud,Chapter 2,ICU EHR Datasets and Irregular Sampling: Critical-care EHR time series,line 13,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
silva2012physionet,Chapter 2,ICU EHR Datasets and Irregular Sampling: PhysioNet/Computing in Cardiology Challenge 2012,line 21,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
johnson2016mimiciii,Chapter 2,ICU EHR Datasets and Irregular Sampling: MIMIC-III and benchmark research,line 27,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
harutyunyan_2019_mimiciii_benchmark,Chapter 2,ICU EHR Datasets and Irregular Sampling: MIMIC-III and benchmark research,line 29,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
sun_2026_review_irregular_medical_timeseries,Chapter 2,Irregular Time-Series Representation Models: Representation challenges and design choices,line 58,cite,core,irregular clinical time-series models,REVIEW_OR_SURVEY,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
cho2014gru,Chapter 2,Irregular Time-Series Representation Models: Recurrent baselines: GRU and GRU-D,line 64,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
che2018grud,Chapter 2,Irregular Time-Series Representation Models: Recurrent baselines: GRU and GRU-D,line 66,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
bai2018tcn,Chapter 2,Irregular Time-Series Representation Models: Temporal convolution: TCN,line 70,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
tipirneni2022strats,Chapter 2,Irregular Time-Series Representation Models: Sparse-event transformer modeling: STraTS,line 78,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
tipirneni2022strats,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,line 96,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
cho2014gru,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,line 97,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
che2018grud,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,line 98,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
bai2018tcn,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,line 99,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
banda_2018_electronic_phenotyping,Chapter 2,Proxy Phenotyping and Weak Supervision: Electronic phenotyping and rule-derived labels,line 112,cite,core,clinical proxy phenotyping,REVIEW_OR_SURVEY,present,clinical proxy phenotyping,SUPPORTED,None; citation is aligned to the stated source role.,
essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,Chapter 2,Proxy Phenotyping and Weak Supervision: Electronic phenotyping and rule-derived labels,line 114,cite,core,clinical proxy phenotyping,APPLICATION_EXAMPLE,present,clinical proxy phenotyping,SUPPORTED,None; citation is aligned to the stated source role.,
singer_2016_sepsis3,Chapter 2,Proxy Phenotyping and Weak Supervision: Clinical-definition sources and approximation,line 120,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,present,clinical proxy phenotyping,SUPPORTED,None; citation is aligned to the stated source role.,
kdigo_2012_acute_kidney_injury,Chapter 2,Proxy Phenotyping and Weak Supervision: Clinical-definition sources and approximation,line 120,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,downloaded,clinical proxy phenotyping,SUPPORTED,None; citation is aligned to the stated source role.,
taylor_et_al_2001_isth_dic,Chapter 2,Proxy Phenotyping and Weak Supervision: Clinical-definition sources and approximation,line 120,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,downloaded,clinical proxy phenotyping,SUPPORTED,None; citation is aligned to the stated source role.,
vincent_et_al_1996_sofa,Chapter 2,Proxy Phenotyping and Weak Supervision: Clinical-definition sources and approximation,line 120,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Retain only high-level conceptual framing; do not attribute detailed criteria or thresholds to this source.,Local PDF unavailable; inspected-use boundary applies.
ranieri_et_al_2012_berlin_ards,Chapter 2,Proxy Phenotyping and Weak Supervision: Clinical-definition sources and approximation,line 120,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Retain only high-level conceptual framing; do not attribute detailed criteria or thresholds to this source.,Local PDF unavailable; inspected-use boundary applies.
ratner_et_al_2020_snorkel,Chapter 2,Proxy Phenotyping and Weak Supervision: Weak supervision and label aggregation,line 126,cite,core,weak supervision,PRIMARY_METHOD,downloaded,weak supervision,SUPPORTED,None; citation is aligned to the stated source role.,
hernan_robins_2016_target_trial,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Observational causal questions and target-trial thinking",line 143,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
hernan_taubman_2008_well_defined_interventions,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Observational causal questions and target-trial thinking",line 145,cite,core,causal identification and DAGs,PRIMARY_METHOD,downloaded,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
smit_2023_causal_inference_icu_scoping_review,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Observational causal questions and target-trial thinking",line 147,cite,core,causal identification and DAGs,REVIEW_OR_SURVEY,present,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
pearl_1995_causal_diagrams,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: DAGs, backdoor reasoning, and adjustment",line 151,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
chernozhukov2018dml,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Double machine learning",line 157,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
oprescu_et_al_2019_econml,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Double machine learning",line 161,cite,core,software tooling,SOFTWARE_IMPLEMENTATION,downloaded,software tooling,SUPPORTED,None; citation is aligned to the stated source role.,
wager2018causalforest,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Causal forests and heterogeneous effects",line 167,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
athey2019grf,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Causal forests and heterogeneous effects",line 167,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
bica_2021_individualized_treatment_effects_ehr_ml,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: HTE in EHR and critical care",line 173,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
lipkovich_2024_modern_hte_methods,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: HTE in EHR and critical care",line 175,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
curth_2024_ml_individualized_treatment_effects,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: HTE in EHR and critical care",line 175,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
iwashyna_2015_hte_critical_care,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: HTE in EHR and critical care",line 175,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
crump_et_al_2009_limited_overlap,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Overlap and empirical support",line 181,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED,None; citation is aligned to the stated source role.,
cinelli_hazlett_2020_sensitivity,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Omitted-variable sensitivity and diagnostic workflows",line 187,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED,None; citation is aligned to the stated source role.,
chernozhukov_et_al_2026_ovb_causal_ml,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Omitted-variable sensitivity and diagnostic workflows",line 187,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED,None; citation is aligned to the stated source role.,
sharma_kiciman_2020_dowhy,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Omitted-variable sensitivity and diagnostic workflows",line 191,cite,core,software tooling,SOFTWARE_IMPLEMENTATION,downloaded,software tooling,SUPPORTED,None; citation is aligned to the stated source role.,
pearl_1995_causal_diagrams,Chapter 3,"Causal Question, Exposures, Outcome, Estimands, Assumptions",line 39,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
hernan_robins_2016_target_trial,Chapter 3,"Causal Question, Exposures, Outcome, Estimands, Assumptions",line 39,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
hernan_taubman_2008_well_defined_interventions,Chapter 3,"Causal Question, Exposures, Outcome, Estimands, Assumptions",line 39,cite,core,causal identification and DAGs,PRIMARY_METHOD,downloaded,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
silva2012physionet,Chapter 4,PhysioNet 2012 Pipeline,line 9,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
johnson2016mimiciii,Chapter 4,MIMIC-III Pipeline,line 22,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
harutyunyan_2019_mimiciii_benchmark,Chapter 4,MIMIC-III Pipeline,line 22,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
banda_2018_electronic_phenotyping,Chapter 5,Rationale and Terminology,line 13,cite,core,clinical proxy phenotyping,REVIEW_OR_SURVEY,present,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Use for phenotyping context only; do not treat as validation of local thresholds.,Local rules remain implementation-confirmed project constructs.
ratner_et_al_2020_snorkel,Chapter 5,Rationale and Terminology,line 19,cite,core,weak supervision,PRIMARY_METHOD,downloaded,weak supervision,SUPPORTED,None; citation is aligned to the stated source role.,
banda_2018_electronic_phenotyping,Chapter 5,PhysioNet Proxy-State Rules,line 113,cite,core,clinical proxy phenotyping,REVIEW_OR_SURVEY,present,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Use for phenotyping context only; do not treat as validation of local thresholds.,Local rules remain implementation-confirmed project constructs.
singer_2016_sepsis3,Chapter 5,PhysioNet Proxy-State Rules,line 114,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,present,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
vincent_et_al_1996_sofa,Chapter 5,PhysioNet Proxy-State Rules,line 114,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
singer_2016_sepsis3,Chapter 5,PhysioNet Proxy-State Rules,line 115,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,present,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,Chapter 5,PhysioNet Proxy-State Rules,line 116,cite,core,clinical proxy phenotyping,APPLICATION_EXAMPLE,present,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Use for phenotyping context only; do not treat as validation of local thresholds.,Local rules remain implementation-confirmed project constructs.
ranieri_et_al_2012_berlin_ards,Chapter 5,PhysioNet Proxy-State Rules,line 116,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
kdigo_2012_acute_kidney_injury,Chapter 5,PhysioNet Proxy-State Rules,line 117,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,downloaded,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
vincent_et_al_1996_sofa,Chapter 5,PhysioNet Proxy-State Rules,line 118,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
taylor_et_al_2001_isth_dic,Chapter 5,PhysioNet Proxy-State Rules,line 119,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,downloaded,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
vincent_et_al_1996_sofa,Chapter 5,PhysioNet Proxy-State Rules,line 119,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
singer_2016_sepsis3,Chapter 5,PhysioNet Proxy-State Rules,line 120,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,present,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
vincent_et_al_1996_sofa,Chapter 5,PhysioNet Proxy-State Rules,line 121,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
banda_2018_electronic_phenotyping,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 178,cite,core,clinical proxy phenotyping,REVIEW_OR_SURVEY,present,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Use for phenotyping context only; do not treat as validation of local thresholds.,Local rules remain implementation-confirmed project constructs.
singer_2016_sepsis3,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 179,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,present,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
singer_2016_sepsis3,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 180,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,present,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
vincent_et_al_1996_sofa,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 180,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
singer_2016_sepsis3,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 181,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,present,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 182,cite,core,clinical proxy phenotyping,APPLICATION_EXAMPLE,present,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Use for phenotyping context only; do not treat as validation of local thresholds.,Local rules remain implementation-confirmed project constructs.
ranieri_et_al_2012_berlin_ards,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 182,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
kdigo_2012_acute_kidney_injury,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 183,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,downloaded,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
vincent_et_al_1996_sofa,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 184,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
taylor_et_al_2001_isth_dic,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 184,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,downloaded,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
vincent_et_al_1996_sofa,Chapter 5,MIMIC Proxy-State Rules and Validation Artifacts,line 185,cite,core,clinical proxy phenotyping,PRIMARY_CLINICAL_DEFINITION,missing,clinical proxy phenotyping,CONCEPTUAL_SUPPORT_ONLY,Keep local thresholds explicitly project-specific and retain clinical-review gate.,"Citation grounds the construct, not complete local-rule implementation."
tipirneni2022strats,Chapter 6,Self-Supervised STraTS Pretraining,line 13,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
tipirneni2022strats,Chapter 6,Supervised Multi-Label Models,line 36,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
cho2014gru,Chapter 6,Supervised Multi-Label Models,line 38,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
che2018grud,Chapter 6,Supervised Multi-Label Models,line 40,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
bai2018tcn,Chapter 6,Supervised Multi-Label Models,line 42,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
tipirneni2022strats,Chapter 6,Supervised Multi-Label Models,line 62,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
cho2014gru,Chapter 6,Supervised Multi-Label Models,line 63,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
che2018grud,Chapter 6,Supervised Multi-Label Models,line 64,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
bai2018tcn,Chapter 6,Supervised Multi-Label Models,line 65,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
pearl_1995_causal_diagrams,Chapter 7,Dataset-Specific DAGs,line 8,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
hernan_taubman_2008_well_defined_interventions,Chapter 7,Dataset-Specific DAGs,line 8,cite,core,causal identification and DAGs,PRIMARY_METHOD,downloaded,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
chernozhukov2018dml,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
oprescu_et_al_2019_econml,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,software tooling,SOFTWARE_IMPLEMENTATION,downloaded,software tooling,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
wager2018causalforest,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
athey2019grf,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
smit_2023_causal_inference_icu_scoping_review,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,causal identification and DAGs,REVIEW_OR_SURVEY,present,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
