snapshot_id,artifact_type,file,line_or_context,exact_value,pre_edit_hash,post_edit_value,unchanged,authorized_formatting_exception,notes
S5.5-00025,heading,thesis-writing/thesis/frontmatter/abstract_primary.tex,line 1,chapter:Abstract,968415da17f5be0926f690c056e2471d9b0b3397fddb9ffe6f5577ba2de31769,chapter:Abstract,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00026,integer,thesis-writing/thesis/frontmatter/abstract_secondary.tex,line 7,2012,25864d0b60f0574bf4cd73082fee1e48035937bfd29394e278f8dd8ebdfe783b,2012,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00027,integer,thesis-writing/thesis/frontmatter/abstract_secondary.tex,line 9,19,25864d0b60f0574bf4cd73082fee1e48035937bfd29394e278f8dd8ebdfe783b,19,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00028,integer,thesis-writing/thesis/frontmatter/abstract_secondary.tex,line 9,-18,25864d0b60f0574bf4cd73082fee1e48035937bfd29394e278f8dd8ebdfe783b,-18,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00029,integer,thesis-writing/thesis/frontmatter/abstract_secondary.tex,line 9,19,25864d0b60f0574bf4cd73082fee1e48035937bfd29394e278f8dd8ebdfe783b,19,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00030,heading,thesis-writing/thesis/frontmatter/abstract_secondary.tex,line 1,chapter:\texthebrew{תקציר},25864d0b60f0574bf4cd73082fee1e48035937bfd29394e278f8dd8ebdfe783b,chapter:\texthebrew{תקציר},YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00031,integer,thesis-writing/thesis/frontmatter/administrative_metadata.tex,line 12,1,d8bb14e93b49e2448cc4810bc7294eeef78699fd1395b5ecdbbaecc8974875d4,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00032,integer,thesis-writing/thesis/frontmatter/administrative_metadata.tex,line 12,1,d8bb14e93b49e2448cc4810bc7294eeef78699fd1395b5ecdbbaecc8974875d4,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00033,integer,thesis-writing/thesis/frontmatter/keywords.tex,line 5,201,ab8100863b4efe7959bbfadef2d1258711648eae151ba43abe908b92a8d14f6e,201,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00034,integer,thesis-writing/thesis/frontmatter/keywords.tex,line 9,2012,ab8100863b4efe7959bbfadef2d1258711648eae151ba43abe908b92a8d14f6e,2012,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00035,heading,thesis-writing/thesis/frontmatter/keywords.tex,line 1,chapter:Keywords,ab8100863b4efe7959bbfadef2d1258711648eae151ba43abe908b92a8d14f6e,chapter:Keywords,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00036,heading,thesis-writing/thesis/frontmatter/keywords.tex,line 4,section:English Keywords,ab8100863b4efe7959bbfadef2d1258711648eae151ba43abe908b92a8d14f6e,section:English Keywords,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00037,heading,thesis-writing/thesis/frontmatter/keywords.tex,line 7,section:\texthebrew{מילות מפתח},ab8100863b4efe7959bbfadef2d1258711648eae151ba43abe908b92a8d14f6e,section:\texthebrew{מילות מפתח},YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00038,decimal,thesis-writing/thesis/frontmatter/nomenclature.tex,line 4,0.20,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,0.20,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00039,decimal,thesis-writing/thesis/frontmatter/nomenclature.tex,line 4,0.72,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,0.72,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00040,decimal,thesis-writing/thesis/frontmatter/nomenclature.tex,line 38,0.25,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,0.25,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00041,decimal,thesis-writing/thesis/frontmatter/nomenclature.tex,line 38,0.67,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,0.67,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00042,integer,thesis-writing/thesis/frontmatter/nomenclature.tex,line 4,0,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,0,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00043,integer,thesis-writing/thesis/frontmatter/nomenclature.tex,line 4,2,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,2,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00044,integer,thesis-writing/thesis/frontmatter/nomenclature.tex,line 38,5,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,5,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00045,integer,thesis-writing/thesis/frontmatter/nomenclature.tex,line 38,7,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,7,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00046,heading,thesis-writing/thesis/frontmatter/nomenclature.tex,line 1,chapter:Abbreviations,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,chapter:Abbreviations,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00047,heading,thesis-writing/thesis/frontmatter/nomenclature.tex,line 35,chapter:Notation and Symbols,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,chapter:Notation and Symbols,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00048,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 6,Abbreviation & Meaning in this thesis \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,Abbreviation & Meaning in this thesis \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00049,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 10,Abbreviation & Meaning in this thesis \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,Abbreviation & Meaning in this thesis \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00050,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 15,ICU & Intensive Care Unit. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,ICU & Intensive Care Unit. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00051,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 16,EHR & Electronic Health Record. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,EHR & Electronic Health Record. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00052,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 17,DAG & Directed Acyclic Graph. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,DAG & Directed Acyclic Graph. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00053,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 18,STraTS & Self-Supervised Transformer for Sparse and Irregularly Sampled Multivariate Clinical Time Series. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,STraTS & Self-Supervised Transformer for Sparse and Irregularly Sampled Multivariate Clinical Time Series. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00054,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 19,GRU & Gated Recurrent Unit. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,GRU & Gated Recurrent Unit. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00055,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 20,GRU-D & Gated Recurrent Unit with Decay. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,GRU-D & Gated Recurrent Unit with Decay. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00056,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 21,TCN & Temporal Convolutional Network. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,TCN & Temporal Convolutional Network. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00057,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 22,SAnD & Simply Attend and Diagnose. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,SAnD & Simply Attend and Diagnose. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00058,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 23,DML & Double Machine Learning. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,DML & Double Machine Learning. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00059,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 24,CATE & Conditional Average Treatment Effect; reported here only as a model-estimated quantity under the stated assumptions. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,CATE & Conditional Average Treatment Effect; reported here only as a model-estimated quantity under the stated assumptions. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00060,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 25,HTE & Heterogeneous Treatment Effect. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,HTE & Heterogeneous Treatment Effect. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00061,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 26,AUROC & Area Under the Receiver Operating Characteristic Curve. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,AUROC & Area Under the Receiver Operating Characteristic Curve. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00062,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 27,AUPRC & Area Under the Precision--Recall Curve. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,AUPRC & Area Under the Precision--Recall Curve. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00063,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 28,minRP & Minimum of precision and recall. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,minRP & Minimum of precision and recall. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00064,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 29,SOFA & Sequential Organ Failure Assessment. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,SOFA & Sequential Organ Failure Assessment. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00065,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 30,ARDS & Acute Respiratory Distress Syndrome. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,ARDS & Acute Respiratory Distress Syndrome. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00066,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 31,CausalPFN & Exploratory model name used in the project; its primary methodological source and expansion are unresolved. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,CausalPFN & Exploratory model name used in the project; its primary methodological source and expansion are unresolved. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00067,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 40,Symbol & Meaning in this thesis \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,Symbol & Meaning in this thesis \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00068,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 44,Symbol & Meaning in this thesis \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,Symbol & Meaning in this thesis \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00069,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 49,\(i\) & Index of a normalized analysis record. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(i\) & Index of a normalized analysis record. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00070,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 50,\(n_i\) & Number of observed measurement events for record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(n_i\) & Number of observed measurement events for record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00071,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 51,\(t_{ij}\) & Elapsed time in minutes for event \(j\) of record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(t_{ij}\) & Elapsed time in minutes for event \(j\) of record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00072,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 52,\(v_{ij}\) & Observed variable name for event \(j\) of record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(v_{ij}\) & Observed variable name for event \(j\) of record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00073,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 53,\(x_{ij}\) & Numeric value recorded for event \(j\) of record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(x_{ij}\) & Numeric value recorded for event \(j\) of record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00074,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 54,\(\mathcal{V}\) & Set of observed measurement-variable names. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(\mathcal{V}\) & Set of observed measurement-variable names. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00075,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 55,\(\mathcal{O}_i\) & Long-format measurement-event object for record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(\mathcal{O}_i\) & Long-format measurement-event object for record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00076,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 56,\(L^{rule}_{ik}\) & Rule-derived binary proxy label for record \(i\) and proxy state \(k\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(L^{rule}_{ik}\) & Rule-derived binary proxy label for record \(i\) and proxy state \(k\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00077,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 57,\(\hat p^{(m)}_{ik}\) & Probability for proxy state \(k\) exported by model \(m\) for record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(\hat p^{(m)}_{ik}\) & Probability for proxy state \(k\) exported by model \(m\) for record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00078,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 58,\(\hat L^{(m)}_{ik}\) & Binary predicted proxy label corresponding to \(\hat p^{(m)}_{ik}\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(\hat L^{(m)}_{ik}\) & Binary predicted proxy label corresponding to \(\hat p^{(m)}_{ik}\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00079,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 59,\(A_i\) & Selected binary proxy-state exposure for record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(A_i\) & Selected binary proxy-state exposure for record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00080,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 60,\(Y_i\) & In-hospital mortality outcome for record \(i\). \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(Y_i\) & In-hospital mortality outcome for record \(i\). \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00081,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 61,\(W_i\) & Observed adjustment variables selected from the project-specified DAG and available columns. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(W_i\) & Observed adjustment variables selected from the project-specified DAG and available columns. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00082,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 62,\(X_i\) & Effect-modifier features used to describe heterogeneity. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(X_i\) & Effect-modifier features used to describe heterogeneity. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00083,table_source_line,thesis-writing/thesis/frontmatter/nomenclature.tex,line 63,\(Y_i(a)\) & Conceptual potential outcome under exposure value \(a\); its interpretation requires the assumptions stated in the methods. \\,73af128086476e8a2d2386abbf4597eb48233dc0e17dd49220c2862acedf993a,\(Y_i(a)\) & Conceptual potential outcome under exposure value \(a\); its interpretation requires the assumptions stated in the methods. \\,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00084,decimal,thesis-writing/thesis/chapters/01_introduction.tex,line 74,0.25,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,0.25,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00085,decimal,thesis-writing/thesis/chapters/01_introduction.tex,line 74,0.40,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,0.40,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00086,decimal,thesis-writing/thesis/chapters/01_introduction.tex,line 74,0.25,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,0.25,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00087,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 7,2026,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2026,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00088,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 7,2016,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2016,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00089,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 13,02,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,02,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00090,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 13,01,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,01,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00091,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 15,2018,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2018,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00092,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 15,2020,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2020,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00093,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 17,1995,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,1995,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00094,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 17,2016,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2016,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00095,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 17,2008,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2008,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00096,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 19,2012,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2012,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00097,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 19,01,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,01,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00098,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 19,01,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,01,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00099,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 26,01,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,01,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00100,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 26,01,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,01,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00101,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 26,01,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,01,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00102,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 26,2023,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2023,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00103,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 26,2021,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2021,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00104,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 52,1,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00105,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 52,2012,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2012,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00106,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 53,2,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,2,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00107,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 54,3,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,3,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00108,integer,thesis-writing/thesis/chapters/01_introduction.tex,line 55,4,43789ea8f2dcde6175261f97a1318943edfb5be349ebf9feaf5c59cbac940c2e,4,YES,NONE,Static frozen-content comparison; unchanged.
