"claim_id","chapter12_section","line_or_excerpt","claim_type","claim_summary","authoritative_source","exact_source_location","numeric_expression","support_status","qualification_status","hierarchy_status","novelty_status","wording_risk","required_action","notes"
"C12-025","Main Findings and Contributions","line 22: exploratory only; primary source unresolved; diagnostic stages absent","EXPLORATORY_FINDING","CausalPFN remains exploratory because its primary source/version alignment and comparable diagnostic support are unresolved.","Chapters 7, 10, and 11; tracking logs","07_causal_methodology.tex lines 135-155 and 162; 10_results.tex lines 237-239; 11_discussion.tex lines 57 and 138-140; deferred_fixes.md DF-4.7-003","","EXPLORATORY_CORRECTLY_BOUNDED","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","Intentionally skipped sensitivity/permutation stages are not described as failures."
"C12-026","Main Findings and Contributions","line 24: common layer organizes cross-dataset analysis while preserving boundaries","CONTRIBUTION","A common proxy-state layer organizes prediction and assumption-guided adjusted analysis while preserving dataset-specific definitions and estimator hierarchy.","Chapters 1 and 11; frozen result packet","01_introduction.tex lines 61-67; 11_discussion.tex lines 65-79; results_manifest.md lines 5-15","two datasets are analyzed separately; no pooled count","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Cross-dataset use is methodological portability, not construct equivalence or transport."
"C12-027","Main Findings and Contributions","line 24: integration, not invention of underlying methods","CONTRIBUTION","The contribution is transparent integration and qualification, not invention of predictive, causal, matching, or diagnostic methods.","Chapter 1","01_introduction.tex lines 26-30 and 61-67; Table tab:introduction-contributions","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","No unsupported novelty claim is present."
"C12-028","Limitations of the Conclusions","line 29: project-specific rules, no chart-adjudicated labels, dataset differences","LIMITATION","Construct validity is limited by project-specific rules, absent chart adjudication, and dataset-specific measurements, ontologies, and timing.","Chapter 11; tracking logs","11_discussion.tex lines 117-124 and 142-147; deferred_fixes.md DF-4.7-002","two datasets differ (count stated textually)","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Carries forward the central clinical construct gate."
"C12-029","Limitations of the Conclusions","line 29: prediction/voting error, binary compression, missingness","LIMITATION","Rule, prediction, and vote error can propagate; binary tags compress trajectories and negatives can reflect unavailable measurements.","Chapters 5 and 11","05_proxy_state_construction.tex lines 203-222; 11_discussion.tex lines 120-124","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Preserves measurement and handoff error limitations."
"C12-030","Limitations of the Conclusions","line 29: clinical review, reference standards, and rule support incomplete","LIMITATION","Qualified clinical review, reference-standard validation, and grounding for some rule families remain incomplete.","Chapter 11; tracking logs","11_discussion.tex lines 117-124; unresolved_placeholders.md lines 256-258 and 283-290; deferred_fixes.md DF-4.7-002 and DF-4.9A-002","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","No external gate is marked resolved."
"C12-031","Limitations of the Conclusions","line 31: illness-state proxies are not necessarily well-defined interventions","LIMITATION","Proxy exposures may not define well-specified interventions, so causal estimands remain uncertain.","Chapters 3, 7, and 11; tracking logs","03_problem_definition_study_design.tex lines 39-41; 07_causal_methodology.tex lines 6-8; 11_discussion.tex lines 126-133; deferred_fixes.md DF-4.7-008","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Directly constrains intervention language."
"C12-032","Limitations of the Conclusions","line 31: project-authored DAG assumptions, temporal ambiguity, unmeasured confounding","LIMITATION","Graph validity, temporal ordering, and unmeasured confounding remain unresolved.","Chapters 7 and 11","07_causal_methodology.tex lines 4-20 and identification-assumption table; 11_discussion.tex lines 126-133 and 198-200","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Project DAGs are not described as learned or clinically validated."
"C12-033","Limitations of the Conclusions","line 31: diagnostics do not establish overlap, balance, exchangeability, or causal certainty","LIMITATION","Matching, sensitivity, and permutation diagnostics qualify specific risks but do not prove support or identification.","Chapters 8, 10, and 11; checked diagnostics","08_robustness_sensitivity_validation.tex lines 4-13 and 76-83; 10_results.tex lines 304-310; 11_discussion.tex lines 129-140; checked_matching_results.csv, checked_matching_failures.csv, checked_sensitivity_candidates.csv, checked_permutation_candidates.csv","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Correctly distinguishes diagnostics from proof."
"C12-034","Limitations of the Conclusions","line 31: disagreement, support gaps, incomplete uncertainty, PFN diagnostic difference","LIMITATION","Estimator dependence, disagreement, support gaps, incomplete uncertainty, and unequal diagnostic coverage constrain interpretation.","Chapters 10 and 11","10_results.tex lines 189, 194, 237-239, and 304-310; 11_discussion.tex lines 135-140","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","PhysioNet shock remains visible in the findings section."
"C12-035","Limitations of the Conclusions","line 33: two datasets do not justify pooling or transport","LIMITATION","Application in two distinct datasets does not justify numerical pooling, construct equivalence, or transport claims.","Chapters 10 and 11; frozen decision register","10_results.tex lines 286-291; 11_discussion.tex lines 65-72 and 142-147; results_decision_register.md lines 7-11","two datasets","LIMITATION_SUPPORTED","PRESENT","CONSISTENT","NOT_APPLICABLE","LOW","RETAIN","Cross-dataset policy remains no pooling."
"C12-036","Limitations of the Conclusions","line 33: no external/prospective validation, fairness, safety, impact, or deployment evaluation","LIMITATION","External clinical validity, subgroup fairness, prospective safety, impact, and deployment utility were not evaluated.","Chapter 11; tracking logs","11_discussion.tex lines 142-147 and 166-176; deferred_fixes.md DF-4.7-009 and DF-4.7-010","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Preserves the non-deployment boundary."
"C12-037","Limitations of the Conclusions","line 33: raw/processed, config, split/checkpoint, source-version, archive, and LLM provenance unresolved","LIMITATION","The exact data, configuration, predictive lineage, producing-source, archive-copy, and LLM review record is incomplete.","Chapters 10 and 11; result packet; tracking logs","10_results.tex lines 343-345; 11_discussion.tex lines 149-164; results_source_packet.md lines 33-35; deferred_fixes.md DF-4.7-004 through DF-4.7-006 and DF-4.7-011","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","REPAIRED","Replaced reader-facing 'producing commits' with 'producing source versions' to preserve provenance meaning while removing prohibited commit language."
"C12-037A","Limitations of the Conclusions","line 33: institutional ethics and data-governance documentation remains required","LIMITATION","Authoritative institutional ethics and data-governance documentation is not established by the repository and remains required.","Chapter 11; tracking logs","11_discussion.tex, Ethical and Clinical-Deployment Considerations, lines 166-174; deferred_fixes.md DF-4.7-012","","LIMITATION_SUPPORTED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","REPAIRED","Added the ethics/governance gate omitted by Stage 4.10A so the conclusion carries forward every interpretation-changing limitation required by the audit."
"C12-038","Future Work","line 38: first priority is clinical and construct validation","FUTURE_WORK","Clinical review and construct validation are the first future-work priority.","Chapter 11; tracking logs","11_discussion.tex lines 117-124 and 195-196; deferred_fixes.md DF-4.7-002","first priority (ordering, not result count)","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Directly derived from the principal construct limitation."
"C12-039","Future Work","line 38: freeze rules, qualified review, chart-adjudicated references","FUTURE_WORK","Future construct validation should freeze rules, document qualified review, and compare against reference labels where feasible.","Chapter 11; tracking logs","11_discussion.tex lines 117-124; deferred_fixes.md DF-4.7-002","","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Clearly presented as future work, not completed validation."
"C12-040","Future Work","line 38: dataset-specific timing, missingness, thresholds, and handoff-state differences","FUTURE_WORK","Construct validation should examine dataset-specific timing, missingness, thresholds, and rule/prediction/aggregation differences.","Chapter 11; tracking logs","11_discussion.tex lines 117-124 and 142-147; deferred_fixes.md DF-4.7-002 and DF-4.7-006","two dataset-specific contexts are implicit; no pooled number","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Derived from measurement, construct, and cross-dataset limitations."
"C12-041","Future Work","line 38: clarify whether the shared interface is an appropriate representation","FUTURE_WORK","Future validation should determine whether the shared interface adequately represents its intended clinical concepts and analyses.","Chapter 11","11_discussion.tex lines 117-124 and 195-197","","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Does not presume clinical validity."
"C12-042","Future Work","line 40: target-trial-aligned design elements","FUTURE_WORK","A stronger future observational design should define eligibility, time zero, strategies, follow-up, outcome, estimand, and time-varying confounding handling.","Chapter 11; tracking logs","11_discussion.tex lines 126-133; deferred_fixes.md DF-4.7-008","second priority (ordering); time zero (design term, not result value)","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Directly derived from intervention-definition and temporal-ordering limitations."
"C12-043","Future Work","line 40: overlap, balance, support-aware estimands, uncertainty, multiplicity, sensitivity","FUTURE_WORK","Future analyses should add prespecified support, uncertainty, multiplicity, and sensitivity procedures.","Chapter 11; tracking logs","11_discussion.tex lines 129-140; deferred_fixes.md DF-4.7-007 and DF-4.6B-004","","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Derived from missing overlap/balance evidence and incomplete uncertainty."
"C12-044","Future Work","line 40: handoff ablations quantify error propagation","FUTURE_WORK","Future ablations should quantify error propagation across measurement, proxy construction, prediction, and aggregation.","Chapter 11; tracking logs","11_discussion.tex lines 117-124 and 195-196; deferred_fixes.md DF-4.7-002 and DF-4.7-006","","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Derived from rule, prediction, vote, and provenance limitations."
"C12-045","Future Work","line 42: signed per-run manifests link data, artifacts, commands, configs, environments, source versions, and outputs","FUTURE_WORK","Future reproducibility work should create signed per-run provenance manifests.","Chapter 11; tracking logs","11_discussion.tex lines 149-154; deferred_fixes.md DF-4.7-004 through DF-4.7-006","third priority (ordering, not result count)","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","REPAIRED","Replaced reader-facing 'source commits' with 'source versions' to preserve the future-work requirement while removing prohibited commit language."
"C12-046","Future Work","line 42: temporal, external, and subgroup evaluation before prospective studies","FUTURE_WORK","Frozen definitions should undergo temporal, external, and subgroup evaluation before prospective safety or impact studies.","Chapter 11; tracking logs","11_discussion.tex lines 142-147 and 166-176; deferred_fixes.md DF-4.7-009 and DF-4.7-010","","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","Does not promise or imply readiness for clinical deployment."
"C12-047","Future Work","line 42: CausalPFN remains exploratory until source/version and diagnostics are verified","FUTURE_WORK","CausalPFN should remain exploratory pending source/version verification and an appropriate uncertainty/diagnostic plan.","Chapters 7 and 11; tracking logs","07_causal_methodology.tex lines 135-155 and 162; 11_discussion.tex lines 57 and 138-140; deferred_fixes.md DF-4.7-003","","FUTURE_WORK_DERIVED","PRESENT","CONSISTENT","NOT_APPLICABLE","LOW","RETAIN","No new citation or technical equivalence claim is introduced."
"C12-048","Future Work","line 42: human-governed LLM prompt and decision record","FUTURE_WORK","LLM-assisted design provenance should document prompt settings and accepted/rejected human decisions.","Chapter 11; tracking logs","11_discussion.tex lines 159-164; deferred_fixes.md DF-4.7-011","","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","RETAIN","LLM remains design provenance, not medical expertise or causal discovery."
"C12-048A","Future Work","line 42: complete authoritative ethics and data-governance wording before prospective or deployment-related evaluation","FUTURE_WORK","Future evidence completion must include authoritative ethics and data-governance wording before prospective or deployment-related evaluation.","Chapter 11; tracking logs","11_discussion.tex lines 166-176; deferred_fixes.md DF-4.7-012","","FUTURE_WORK_DERIVED","PRESENT","NOT_APPLICABLE","NOT_APPLICABLE","LOW","REPAIRED","Added future work directly derived from the newly restored ethics/governance limitation."
"C12-049","Closing Perspective","line 47: integration itself as an object of evidence","CLOSING_SYNTHESIS","Treating integration and handoffs as auditable objects is a supported methodological contribution.","Chapters 1 and 11","01_introduction.tex lines 28-38 and 61-67; 11_discussion.tex lines 74-79","","SUPPORTED","NOT_REQUIRED","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","Closes on the primary contribution rather than a secondary result."
"C12-050","Closing Perspective","line 47: handoffs do not remove need for review, design, diagnostics, provenance","CLOSING_SYNTHESIS","Workflow integration does not remove clinical-review, observational-design, diagnostic, or provenance requirements.","Chapters 1 and 11","01_introduction.tex lines 34-38 and 88-90; 11_discussion.tex lines 117-176","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","Condenses the major limitations without reopening Discussion-level detail."
"C12-051","Closing Perspective","line 47: inspectable retrospective evidence for hypothesis generation, with boundaries visible","CLOSING_SYNTHESIS","Transparent integration can support inspectable retrospective hypothesis generation while preserving boundaries against stronger clinical or causal claims.","Chapters 1 and 11","01_introduction.tex lines 30-38 and 88-90; 11_discussion.tex lines 16-18, 77-84, and 176","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","Measured final perspective; no deployment or treatment recommendation is implied."
