table_id,file,chapter,latex_label,caption,table_type,evidence_role,authoritative_source,exact_source_location,dataset_scope,cohort_scope,estimator_scope,row_count,numeric_cell_count,numeric_cells_checked,textual_claims_checked,rounding_rule,missing_value_policy,failure_policy,sorting_rule,caption_status,source_status,layout_status,required_action,notes
tab:dag-node-families,thesis-writing/thesis/chapters/07_causal_methodology.tex,Chapter 7,tab:dag-node-families,Implemented DAG node families used by the causal pipeline.,method/design/evidence table,methodological or interpretive support,causal-irregular-time-series/src/physionet2012_causal_graph.py; causal-irregular-time-series/src/mimiciii_causal_graph.py; archived graph pickles,causal-irregular-time-series/src/physionet2012_causal_graph.py; causal-irregular-time-series/src/mimiciii_causal_graph.py; archived graph pickles,cross-dataset,N/A or stated in rows,N/A or stated in rows,6,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:adjustment-set-logic,thesis-writing/thesis/chapters/07_causal_methodology.tex,Chapter 7,tab:adjustment-set-logic,Implemented adjustment-set logic and thesis interpretation.,method/design/evidence table,methodological or interpretive support,causal-irregular-time-series/src/cate_estimation.py; project DAG helper implementation,causal-irregular-time-series/src/cate_estimation.py; project DAG helper implementation,cross-dataset,N/A or stated in rows,N/A or stated in rows,7,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:causal-assumptions,thesis-writing/thesis/chapters/07_causal_methodology.tex,Chapter 7,tab:causal-assumptions,Causal assumptions required for interpreting the estimator outputs.,method/design/evidence table,methodological or interpretive support,implemented DAG/matching/CATE methods; approved causal-method literature,implemented DAG/matching/CATE methods; approved causal-method literature,cross-dataset,N/A or stated in rows,N/A or stated in rows,10,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:causal-estimator-methods,thesis-writing/thesis/chapters/07_causal_methodology.tex,Chapter 7,tab:causal-estimator-methods,Implemented causal estimators and interpretation limits.,method/design/evidence table,methodological or interpretive support,matching_causal_effect.py; cate_estimation.py; causal_pfn.py; orchestrator records,matching_causal_effect.py; cate_estimation.py; causal_pfn.py; orchestrator records,cross-dataset,N/A or stated in rows,N/A or stated in rows,4,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,First-column allocation repaired.
tab:overlap-support-design,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,Chapter 8,tab:overlap-support-design,Overlap and support diagnostic design; this table contains no numerical results.,method/design/evidence table,methodological or interpretive support,matching_causal_effect.py; checked_matching_results.csv; checked_matching_failures.csv,matching_causal_effect.py; checked_matching_results.csv; checked_matching_failures.csv,cross-dataset,N/A or stated in rows,N/A or stated in rows,5,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,"Breakable paths and compound wording, smaller type, and column spacing repaired."
tab:sensitivity-diagnostic-design,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,Chapter 8,tab:sensitivity-diagnostic-design,Sensitivity-diagnostic design and interpretation boundary.,method/design/evidence table,methodological or interpretive support,cate_estimation.py; saved-CATE analysis source; checked_sensitivity_candidates.csv,cate_estimation.py; saved-CATE analysis source; checked_sensitivity_candidates.csv,cross-dataset,N/A or stated in rows,N/A or stated in rows,7,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,"Breakable compound wording, smaller type, and spacing repaired."
tab:permutation-reproducibility-design,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,Chapter 8,tab:permutation-reproducibility-design,Permutation and reproducibility-validation design.,method/design/evidence table,methodological or interpretive support,permutation source; config validators; archived run_summary.json; results_manifest.csv,permutation source; config validators; archived run_summary.json; results_manifest.csv,cross-dataset,N/A or stated in rows,N/A or stated in rows,5,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,"Breakable path/compound wording, column allocation, smaller type, and spacing repaired."
tab:predictive-experimental-matrix,thesis-writing/thesis/chapters/09_experimental_design.tex,Chapter 9,tab:predictive-experimental-matrix,Predictive experimental matrix and artifact-status design; no predictive metric is reported.,method/design/evidence table,methodological or interpretive support,checked_predictive_exports.csv; checked_predictive_metrics.csv; archived training summaries,checked_predictive_exports.csv; checked_predictive_metrics.csv; archived training summaries,cross-dataset,N/A or stated in rows,N/A or stated in rows,2,2,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:causal-experimental-matrix,thesis-writing/thesis/chapters/09_experimental_design.tex,Chapter 9,tab:causal-experimental-matrix,"Causal experimental matrix.  The table records run-family design, not effect estimates.",method/design/evidence table,methodological or interpretive support,experiment_inventory.csv and 12 archived run_summary.json records; active orchestrator,experiment_inventory.csv and 12 archived run_summary.json records; active orchestrator,cross-dataset,N/A or stated in rows,N/A or stated in rows,4,4,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,Column allocation and break opportunity in CausalForestDML repaired.
tab:reproducibility-status,thesis-writing/thesis/chapters/09_experimental_design.tex,Chapter 9,tab:reproducibility-status,Reproducibility-status design.,method/design/evidence table,methodological or interpretive support,results_manifest.csv; results_source_packet.md; results_decision_register.md,results_manifest.csv; results_source_packet.md; results_decision_register.md,cross-dataset,N/A or stated in rows,N/A or stated in rows,8,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,"Breakable provenance and hardware wording, smaller type, and spacing repaired."
tab:result-admission-policy,thesis-writing/thesis/chapters/09_experimental_design.tex,Chapter 9,tab:result-admission-policy,Result-admission policy applied to the validated result sources.,method/design/evidence table,methodological or interpretive support,results_decision_register.md; checked result selection/admission fields,results_decision_register.md; checked result selection/admission fields,cross-dataset,N/A or stated in rows,N/A or stated in rows,4,4,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-analysis-populations,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-analysis-populations,"Original causal-analysis populations admitted to the primary analyses.  Counts describe model rows in the checked original-cohort runs, not raw-source cohort totals.",numerical result,reported checked result,checked_cate_candidates.csv,thesis-writing/results/checked_cate_candidates.csv,cross-dataset,original cohort,"as stated per row; Forest primary, Linear secondary, PFN exploratory",2,2,2/2 result-value cells; 6 total machine comparisons in stage_5_2_table_values/T-results-analysis-populations.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-predictive-performance,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-predictive-performance,"Archived predictive test performance for the four learned models.  AUROC, AUPRC, and minRP are macro-averaged across non-degenerate proxy-label targets on the archived test split.",numerical result,reported checked result,checked_predictive_metrics.csv,thesis-writing/results/checked_predictive_metrics.csv,cross-dataset,original cohort,"as stated per row; Forest primary, Linear secondary, PFN exploratory",10,40,40/40 result-value cells; 40 total machine comparisons in stage_5_2_table_values/T-results-predictive-performance.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-forest-mimic,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-forest-mimic,"Primary original-cohort MIMIC-III CausalForestDML results ($n=26{,}845$).  Prevalence and mean model-estimated CATE are proportions on their archived scales.",numerical result,reported checked result,checked_cate_candidates.csv,thesis-writing/results/checked_cate_candidates.csv,MIMIC-III,original cohort,"as stated per row; Forest primary, Linear secondary, PFN exploratory",9,19,19/19 result-value cells; 36 total machine comparisons in stage_5_2_table_values/T-results-forest-mimic.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-forest-physionet,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-forest-physionet,"Primary original-cohort PhysioNet CausalForestDML results ($n=7{,}993$).  Prevalence and mean model-estimated CATE are proportions on their archived scales.",numerical result,reported checked result,checked_cate_candidates.csv,thesis-writing/results/checked_cate_candidates.csv,PhysioNet 2012,original cohort,"as stated per row; Forest primary, Linear secondary, PFN exploratory",10,21,21/21 result-value cells; 40 total machine comparisons in stage_5_2_table_values/T-results-forest-physionet.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-matching-support,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-matching-support,Original-cohort descriptive matching and empirical-support summaries.  ``Difference'' is the descriptive matched-pair outcome difference; it is not a model-estimated CATE.,numerical result,reported checked result,checked_matching_results.csv; checked_matching_failures.csv,checked_matching_results.csv; checked_matching_failures.csv,cross-dataset,original cohort,"as stated per row; Forest primary, Linear secondary, PFN exploratory",19,60,60/60 result-value cells; 95 total machine comparisons in stage_5_2_table_values/T-results-matching-support.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-linear-comparison,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-linear-comparison,Original-cohort comparison of mean model-estimated CATE from CausalForestDML and LinearDML.,numerical result,reported checked result,checked_cate_candidates.csv,thesis-writing/results/checked_cate_candidates.csv,cross-dataset,original cohort,"as stated per row; Forest primary, Linear secondary, PFN exploratory",19,38,38/38 result-value cells; 57 total machine comparisons in stage_5_2_table_values/T-results-linear-comparison.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-pfn-comparison,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-pfn-comparison,Original-cohort exploratory CausalPFN mean model-estimated CATE and direction agreement with both DML estimators.,numerical result,reported checked result,checked_cate_candidates.csv,thesis-writing/results/checked_cate_candidates.csv,cross-dataset,original cohort,"as stated per row; Forest primary, Linear secondary, PFN exploratory",19,19,19/19 result-value cells; 57 total machine comparisons in stage_5_2_table_values/T-results-pfn-comparison.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:results-robustness-summary,thesis-writing/thesis/chapters/10_results.tex,Chapter 10,tab:results-robustness-summary,"Robustness and diagnostic availability.  Counts are exposure-level statuses, not effect estimates.",numerical result,reported checked result,checked_matching_results.csv; checked_matching_failures.csv; checked_sensitivity_candidates.csv; checked_permutation_candidates.csv,checked_matching_results.csv; checked_matching_failures.csv; checked_sensitivity_candidates.csv; checked_permutation_candidates.csv,cross-dataset,original and outcome-downsampled,"as stated per row; Forest primary, Linear secondary, PFN exploratory",12,40,40/40 result-value cells; 36 total machine comparisons in stage_5_2_table_values/T-results-robustness-summary.csv,ALL rows and status labels checked,3 decimals except preserved 4-decimal small values; counts comma-separated,-- denotes unavailable only; never zero,failed matching shown as failed; PFN diagnostic skip shown as intentional skip,source-prescribed order documented in comparison CSV,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:discussion-rq-answers,thesis-writing/thesis/chapters/11_discussion.tex,Chapter 11,tab:discussion-rq-answers,Evidence-based answers to the research questions.,method/design/evidence table,methodological or interpretive support,Chapter 10 checked tables; Stage 5.1 RQ/contribution matrix; chapter_evidence_map.md,Chapter 10 checked tables; Stage 5.1 RQ/contribution matrix; chapter_evidence_map.md,cross-dataset,N/A or stated in rows,N/A or stated in rows,8,7,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:discussion-limitations,thesis-writing/thesis/chapters/11_discussion.tex,Chapter 11,tab:discussion-limitations,Study-specific limitations and threats to validity.,method/design/evidence table,methodological or interpretive support,results_source_packet.md; results_decision_register.md; Stage 5.1 audit; methods/results evidence,results_source_packet.md; results_decision_register.md; Stage 5.1 audit; methods/results evidence,cross-dataset,N/A or stated in rows,N/A or stated in rows,17,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
T-FRONT-ABBREVIATIONS,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,N/A,Abbreviations,front-matter glossary,methodological or interpretive support,thesis chapters and definitions; active source; approved evidence records,thesis chapters and definitions; active source; approved evidence records,cross-dataset,N/A or stated in rows,N/A or stated in rows,17,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
T-FRONT-NOTATION,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,N/A,Notation and Symbols,front-matter glossary,methodological or interpretive support,thesis chapters and definitions; active source; approved evidence records,thesis chapters and definitions; active source; approved evidence records,cross-dataset,N/A or stated in rows,N/A or stated in rows,15,0,N/A,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
