reference_id,source_file,reference_command,target_label,target_type,target_exists,display_context_correct,capitalization_correct,spacing_correct,repair_required,notes
REF-013,thesis-writing/thesis/chapters/03_problem_definition_study_design.tex,\ref,chap:discussion,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-014,thesis-writing/thesis/chapters/04_data_preprocessing.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-015,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,\ref,chap:problem-definition-study-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-016,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,\ref,chap:predictive-modeling-proxy-states,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-017,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-018,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,\ref,tab:physionet-proxy-definitions,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-019,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,\ref,chap:predictive-modeling-proxy-states,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-020,thesis-writing/thesis/chapters/06_predictive_modeling.tex,\ref,chap:data-preprocessing,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-021,thesis-writing/thesis/chapters/06_predictive_modeling.tex,\ref,chap:experimental-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-022,thesis-writing/thesis/chapters/06_predictive_modeling.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-023,thesis-writing/thesis/chapters/06_predictive_modeling.tex,\ref,sec:predictive-modeling-proxy-states:self-supervised-strats-pretraining,section,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-024,thesis-writing/thesis/chapters/06_predictive_modeling.tex,\ref,chap:clinical-proxy-state-construction,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-025,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,\ref,chap:causal-graph-effect-estimation-methodology,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-026,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-027,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,\ref,chap:causal-graph-effect-estimation-methodology,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-028,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-029,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-030,thesis-writing/thesis/chapters/09_experimental_design.tex,\ref,chap:data-preprocessing,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-031,thesis-writing/thesis/chapters/09_experimental_design.tex,\ref,chap:clinical-proxy-state-construction,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-032,thesis-writing/thesis/chapters/09_experimental_design.tex,\ref,chap:predictive-modeling-proxy-states,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-033,thesis-writing/thesis/chapters/09_experimental_design.tex,\ref,chap:causal-graph-effect-estimation-methodology,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-034,thesis-writing/thesis/chapters/09_experimental_design.tex,\ref,chap:robustness-sensitivity-validation-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-035,thesis-writing/thesis/chapters/09_experimental_design.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-036,thesis-writing/thesis/chapters/10_results.tex,\ref,chap:causal-graph-effect-estimation-methodology,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-037,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-analysis-populations,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-038,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-predictive-performance,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-039,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-forest-mimic,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-040,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-forest-physionet,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-041,thesis-writing/thesis/chapters/10_results.tex,\ref,fig:results-mimic-forest-ranking,figure,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-042,thesis-writing/thesis/chapters/10_results.tex,\ref,fig:results-physionet-forest-ranking,figure,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-043,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-matching-support,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-044,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-linear-comparison,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-045,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-pfn-comparison,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-046,thesis-writing/thesis/chapters/10_results.tex,\ref,fig:results-three-estimator-direction,figure,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-047,thesis-writing/thesis/chapters/10_results.tex,\ref,chap:causal-graph-effect-estimation-methodology,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-048,thesis-writing/thesis/chapters/10_results.tex,\ref,tab:results-robustness-summary,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-049,thesis-writing/thesis/chapters/11_discussion.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-050,thesis-writing/thesis/chapters/11_discussion.tex,\ref,chap:problem-definition-study-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-051,thesis-writing/thesis/chapters/11_discussion.tex,\ref,chap:experimental-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-052,thesis-writing/thesis/chapters/11_discussion.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-053,thesis-writing/thesis/chapters/11_discussion.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-054,thesis-writing/thesis/chapters/12_conclusions_future_work.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-055,thesis-writing/thesis/chapters/12_conclusions_future_work.tex,\ref,sec:results:predictive-performance,section,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-056,thesis-writing/thesis/chapters/12_conclusions_future_work.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-057,thesis-writing/thesis/chapters/12_conclusions_future_work.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-058,thesis-writing/thesis/chapters/12_conclusions_future_work.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
