claim_id,chapter,section,claim_summary,claim_strength,citation_keys,preferred_source_type,actual_source_type,local_repository_claim,support_status,boundary_status,repair_action
CC-4.9B-015,Chapter 2,Irregular Time-Series Representation Models: Temporal convolution: TCN,"Temporal convolutional networks apply one-dimensional convolution in temporal order.  Causal convolution prevents future positions from contributing to an earlier output, dilation expands the receptive field without requiring a kernel at every lag, and residual blocks stabilize deeper models.  Because convolutions for many positions can be computed in parallel, a TCN offers a different computational and inductive bias from a recurrent state update .  The canonical TCN study is a general sequence-modeling comparison rather than an ICU-specific method paper.  In an irregular ICU setting, the model still requires an appropriate regular sequence representation, so resampling, aggregation, masks, and time features remain part of its effective design.",HIGH_LEVEL,bai2018tcn,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-016,Chapter 2,Irregular Time-Series Representation Models: Attention-based dense modeling: SAnD,"SAnD applies masked self-attention to clinical time series so that a representation at a position can combine information from other permitted positions without recurrent traversal.  Positional encoding supplies temporal order, and attention provides direct paths for modeling long-range relationships .  Its clinical formulation uses a dense or regularly represented sequence, making preprocessing part of the model interface.  It therefore differs from a sparse-event transformer even though both use attention: attention is a temporal mechanism, not a complete specification of the input representation.",HIGH_LEVEL,song2018sand,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-017,Chapter 2,Irregular Time-Series Representation Models: Sparse-event transformer modeling: STraTS,"STraTS is designed for sparse and irregular multivariate clinical series.  It treats an observed measurement as a triplet of time, variable, and value; continuous embeddings of time and value are combined with a variable embedding, and transformer-style attention contextualizes the observed events.  This avoids constructing a fully imputed variable-by-time matrix and preserves fine-grained observation times.  The method also introduces a self-supervised forecasting objective for pretraining representations before supervised prediction .",HIGH_LEVEL,tipirneni2022strats,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-018,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,STraTS & Transformer-style contextualization and attention pooling. & Sparse observed time--variable--value triplets; timing and absence are retained without a fully imputed grid; self-supervised pretraining is supported. & Sparse-event focal model with a later local multi-label adaptation. &  ,HIGH_LEVEL,tipirneni2022strats,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-019,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,GRU & Gated recurrent hidden-state updates. & Requires a prepared sequence; irregular time and missingness are not inherently resolved by the ordinary recurrent unit. & General recurrent baseline. &  ,HIGH_LEVEL,cho2014gru,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-020,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,GRU-D & Recurrent updates with trainable input and hidden-state decay. & Uses masks and elapsed-time features to model missingness explicitly. & Missingness-aware recurrent baseline. &  ,HIGH_LEVEL,che2018grud,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-021,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,"TCN & Dilated temporally ordered convolutions with residual blocks. & Operates on a regular sequence representation whose binning, masks, and aggregation must be defined. & Convolutional sequence baseline. &  ",HIGH_LEVEL,bai2018tcn,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-022,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,SAnD & Masked self-attention with positional encoding. & Operates on a dense clinical sequence; its input is not the same raw sparse-event representation as STraTS. & Dense attention-based baseline. &  ,HIGH_LEVEL,song2018sand,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-023,Chapter 2,Proxy Phenotyping and Weak Supervision: Electronic phenotyping and rule-derived labels,"Electronic phenotyping identifies patients or records with characteristics of interest from routinely collected EHR data.  Phenotypes may combine diagnosis or procedure codes, laboratory and vital measurements, medications, text, temporal criteria, deterministic rules, statistical models, or machine learning.  The field has consequently developed from manually specified rule sets toward hybrid and learned approaches, while retaining the need to validate the construct for its intended use .",HIGH_LEVEL,banda_2018_electronic_phenotyping,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-024,Chapter 2,Proxy Phenotyping and Weak Supervision: Electronic phenotyping and rule-derived labels,"Rule-based phenotypes remain attractive when transparency and inspectability matter.  An investigator can trace a positive label to named variables, thresholds, and time conditions; the same rule can be rerun; and domain reviewers can identify implausible clauses.  A rule can also provide a practical label when manual adjudication is unavailable.  Concrete respiratory-failure phenotyping work illustrates how operational cohort definitions can be constructed from EHR evidence while requiring validation against the intended clinical concept .",HIGH_LEVEL,essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,APPLICATION_EXAMPLE,APPLICATION_EXAMPLE,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-025,Chapter 2,Proxy Phenotyping and Weak Supervision: Clinical-definition sources and approximation,"Clinical consensus documents provide important conceptual grounding for organ dysfunction and acute syndromes, but their definitions are usually multicomponent and context dependent.  Sepsis-3 links sepsis to infection-associated organ dysfunction and gives specific clinical operationalizations; KDIGO defines acute kidney injury using creatinine and urine-output changes; and the ISTH work proposes clinical and laboratory scoring for disseminated intravascular coagulation .  SOFA and the Berlin ARDS definition likewise supply authoritative terminology for organ dysfunction and respiratory syndromes .",HIGH_LEVEL,singer_2016_sepsis3;kdigo_2012_acute_kidney_injury;taylor_et_al_2001_isth_dic;vincent_et_al_1996_sofa;ranieri_et_al_2012_berlin_ards,PRIMARY_CLINICAL_DEFINITION,PRIMARY_CLINICAL_DEFINITION,NO,MISSING_PDF_LIMITED_USE,HIGH_LEVEL_CONCEPT_ONLY,Retain high-level terminology only; no detailed criteria or threshold attribution.
CC-4.9B-026,Chapter 2,Proxy Phenotyping and Weak Supervision: Weak supervision and label aggregation,"Weak supervision addresses settings in which accurate hand labels are scarce but multiple imperfect labeling sources are available.  Labeling functions can encode heuristics, distant supervision, or model outputs, and may differ in coverage and accuracy.  Snorkel formalizes the problem by learning a generative label model that estimates source accuracies and dependencies without requiring every training example to be manually labeled .  The central lesson for this thesis is that label-source quality and correlation matter: adding sources does not guarantee that shared bias cancels.",HIGH_LEVEL,ratner_et_al_2020_snorkel,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-027,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Observational causal questions and target-trial thinking","Causal analysis begins with a question, not an estimator.  Target-trial thinking makes the desired comparison explicit by specifying eligibility, treatment or exposure strategies, assignment, time zero, follow-up, outcome, causal contrast, and analysis plan before observational data are analyzed .  This discipline exposes mismatches such as using post-baseline information to define eligibility, comparing prevalent with incident exposure, or allowing eligibility and follow-up to begin at different times.  ICU EHR data make these issues acute because clinical state, treatment, measurement, and selection evolve rapidly and are documented through care processes.",HIGH_LEVEL,hernan_robins_2016_target_trial,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-028,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Observational causal questions and target-trial thinking","The exposure must also correspond to a sufficiently well-defined intervention or contrast.  Different ways of producing the same measured state can lead to different outcomes, so a contrast on a state such as body mass index---or, here, an illness-state proxy---may violate consistency when the underlying intervention is unspecified .  This concern is not repaired by choosing a flexible estimator.  It requires clarity about what changes, when it changes, and which versions of the exposure are being compared.",HIGH_LEVEL,hernan_taubman_2008_well_defined_interventions,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-029,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Observational causal questions and target-trial thinking","Retrospective ICU studies additionally face confounding by indication, changing severity, informative measurement, treatment--confounder feedback, selection, and limitations in outcome measurement.  A review of observational causal inference in intensive care emphasizes careful question formulation, assumptions, data preparation, and reporting across the analysis workflow .  Marginal structural models provide important background for time-varying treatment and confounder processes, but they are not the point/binary exposure estimator implemented in this thesis.  Nor does this thesis claim a complete target-trial emulation.",HIGH_LEVEL,smit_2023_causal_inference_icu_scoping_review,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-030,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: DAGs, backdoor reasoning, and adjustment","A directed acyclic graph (DAG) represents assumed causal relations through nodes and directed edges.  Paths into an exposure can encode confounding routes, while colliders require special care because conditioning on them can open otherwise blocked associations.  Backdoor reasoning uses the graph to identify covariates that block noncausal paths without adjusting for inappropriate descendants or colliders .  A DAG thus makes assumptions inspectable and connects scientific reasoning to adjustment-set selection.",HIGH_LEVEL,pearl_1995_causal_diagrams,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-031,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Double machine learning","Double machine learning (DML) separates the causal parameter of interest from flexible nuisance functions, such as outcome regression and exposure propensity.  Machine-learning estimators can fit these functions, but naively substituting regularized predictions into a causal estimating equation can transfer regularization and overfitting bias to the target parameter.  DML addresses this problem through Neyman-orthogonal scores, which reduce first-order sensitivity to nuisance-estimation error, and cross-fitting, which estimates nuisance functions on data separate from the observations used to evaluate the score .",HIGH_LEVEL,chernozhukov2018dml,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-032,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Double machine learning","EconML provides software implementations for heterogeneous-effect estimators, including DML-related workflows, and is useful for documenting implementation context .  The software reference is distinct from the theoretical basis: library availability does not validate local nuisance models, cross-fitting behavior, or identification assumptions.",HIGH_LEVEL,oprescu_et_al_2019_econml,SOFTWARE_IMPLEMENTATION,SOFTWARE_IMPLEMENTATION,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-033,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Causal forests and heterogeneous effects","Causal forests adapt random-forest ideas to heterogeneous treatment-effect estimation.  Recursive partitioning seeks regions in covariate space with different treatment contrasts, and aggregation across trees stabilizes local estimates.  Under conditions including unconfoundedness and appropriate forest construction, the method provides a nonparametric approach to conditional treatment effects and inference .  Generalized random forests extend the adaptive-neighborhood view of forests to parameters defined through local moment equations, providing a broader framework in which heterogeneous-effect estimation can be formulated .",HIGH_LEVEL,wager2018causalforest;athey2019grf,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-034,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: HTE in EHR and critical care","EHR research is motivated by the possibility that large, heterogeneous observational populations can inform conditional or individualized treatment-effect estimation.  The same data introduce confounding, informative missingness, treatment-selection bias, and covariate shift, while individual counterfactual outcomes remain unobserved .  Validation is consequently harder than ordinary prediction: a held-out factual outcome cannot directly reveal the accuracy of an individual's unobserved alternative outcome.",HIGH_LEVEL,bica_2021_individualized_treatment_effects_ehr_ml,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-035,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: HTE in EHR and critical care","Modern HTE reviews emphasize principled separation of hypothesis generation from confirmation, careful performance criteria, and the instability of data-driven subgroups .  Critical-care populations add marked variation in baseline risk, disease mechanisms, and competing trajectories.  Heterogeneity in observed outcomes or prognosis can be mistaken for heterogeneity of treatment effect, and average trial results can conceal clinically important variation while exploratory subgroup analyses can also produce spurious patterns .  These considerations motivate conditional-effect modeling in the thesis but do not imply that its proxy-state analyses validate individualized clinical effects.",HIGH_LEVEL,lipkovich_2024_modern_hte_methods;curth_2024_ml_individualized_treatment_effects;iwashyna_2015_hte_critical_care,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-036,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Overlap and empirical support","Positivity requires that the exposure conditions being compared are possible within relevant covariate strata.  Its empirical counterpart, overlap or common support, asks whether comparable exposed and unexposed observations exist in the analyzed sample.  When propensity scores approach their boundaries, estimates rely on a small number of observations or extrapolation, producing instability and changing the population for which a comparison is credible.  Work on limited overlap formalizes the variance and target-population consequences and motivates explicit attention to the region of adequate support .",HIGH_LEVEL,crump_et_al_2009_limited_overlap,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-037,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Omitted-variable sensitivity and diagnostic workflows","Even after adjustment, observational estimates can be biased by variables that affect both exposure and outcome but are absent from the model.  Omitted-variable-bias sensitivity analysis asks how strongly such a variable would need to relate to the residualized exposure and outcome to change a conclusion.  Robustness values provide a compact strength-of-confounding summary, while comparison with observed covariates can make a hypothetical confounder scale more interpretable .  Extensions to causal machine learning formulate analogous bias bounds and inference for broader target parameters and flexible nuisance estimation .",HIGH_LEVEL,cinelli_hazlett_2020_sensitivity;chernozhukov_et_al_2026_ovb_causal_ml,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-038,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Omitted-variable sensitivity and diagnostic workflows","More broadly, transparent causal workflows separate modeling assumptions, identification, estimation, and attempts to refute or perturb the analysis.  DoWhy articulates this model--identify--estimate--refute sequence and implements placebo and other robustness checks as software-supported diagnostics .  The value of such checks is procedural: they can expose sensitivity to broken relationships or alternative assumptions.  They do not turn every perturbation into a formal randomization test, and the citation does not imply that every DoWhy refuter was used in this thesis.",HIGH_LEVEL,sharma_kiciman_2020_dowhy,SOFTWARE_IMPLEMENTATION,SOFTWARE_IMPLEMENTATION,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-039,Chapter 3,"Causal Question, Exposures, Outcome, Estimands, Assumptions","Let (A_iin{0,1}) denote a selected proxy-state exposure, (Y_i) denote the binary outcome in_hospital_mortality, (W_i) denote observed adjustment variables selected from a project-specified DAG and available columns, and (X_i) denote effect-modifier features used to describe heterogeneity.  The dataset-specific DAGs were developed through a project design process that included LLM-assisted clinical and causal elicitation and were then encoded in source code; the implemented graph scripts, not the prompt outputs alone, define the DAG artifacts used by the pipeline.  Potential-outcome notation such as (Y_i(a)) is useful as conceptual language, but causal interpretation requires more than the presence of a graph or an estimator.  It depends on assumptions about the causal graph, consistency, exchangeability conditional on observed covariates, positivity or overlap, outcome and exposure measurement, and unmeasured confounding .",BOUNDARY_OR_IMPLEMENTATION_CONTEXT,pearl_1995_causal_diagrams;hernan_robins_2016_target_trial;hernan_taubman_2008_well_defined_interventions,PRIMARY_METHOD,PRIMARY_METHOD,YES,SUPPORTED_WITH_BOUNDARY,GENERAL_SOURCE_NOT_LOCAL_VALIDATION,"Retain distinction between cited concept and local implementation, DAG, or estimate."
CC-4.9B-040,Chapter 4,PhysioNet 2012 Pipeline,"The PhysioNet/Computing in Cardiology Challenge 2012 dataset provides ICU time-series records and associated in-hospital mortality outcomes for a mortality-prediction challenge setting .  In this thesis it functions as one of the two ICU time-series sources used to exercise the proxy-state prediction and downstream causal-analysis pipeline.  The local repository does not track the raw challenge files or a verified processed-data pickle, so this section describes the implemented preprocessing contract rather than asserting final cohort counts.",BOUNDARY_OR_IMPLEMENTATION_CONTEXT,silva2012physionet,PRIMARY_DATASET,PRIMARY_DATASET,YES,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-041,Chapter 4,MIMIC-III Pipeline,"MIMIC-III is a critical-care electronic health-record database used here as the second ICU data source .  The implemented workflow follows a clinical time-series benchmark style in that it transforms raw ICU events into stay-level time-series examples suitable for prediction, while adapting the output contract for this thesis pipeline .  The repository does not establish a tracked raw-data snapshot, extraction date, or final processed artifact hash.",BOUNDARY_OR_IMPLEMENTATION_CONTEXT,johnson2016mimiciii;harutyunyan_2019_mimiciii_benchmark,PRIMARY_DATASET,PRIMARY_DATASET,YES,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-042,Chapter 5,Rationale and Terminology,"Electronic health-record phenotyping often uses structured measurements, codes, and rules to construct clinically meaningful variables when direct expert labels are unavailable .  This thesis uses the same conservative framing.  A proxy state is a binary construct intended to summarize evidence for a clinically meaningful condition or physiologic state from the available data.  A proxy phenotype is the same family of construct, with emphasis on phenotype-like grouping rather than direct measurement.  A clinically inspired proxy label is a weak label based on clinical measurements, thresholds, or rule clauses rather than a chart-adjudicated endpoint.  A rule-based proxy state is assigned by deterministic source-code rules.  A predicted proxy state is produced by a supervised time-series model trained to estimate rule-derived labels.  A majority-vote proxy state is the deterministic aggregation of binary voter files.  A binary proxy-state tag is the realized 0/1 value for one ts_id and one proxy-state column.",BOUNDARY_OR_IMPLEMENTATION_CONTEXT,banda_2018_electronic_phenotyping,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,YES,SUPPORTED,CANONICAL_SCOPE,None.
