claim_id,file,chapter_or_section,line_or_excerpt,claim_type,claim_summary,numeric_expression,citation_keys,authoritative_source,exact_source_location,support_status,qualification_status,terminology_status,hierarchy_status,cross_language_status,required_action,notes
C0011,thesis-writing/thesis/frontmatter/title_pages.tex,Front matter,line 18: CURRENT FACULTY TITLE-PAGE FORM AND ENGLISH-THESIS AUTHORIZATION REQUIRED,NEGATIVE_BOUNDARY,CURRENT FACULTY TITLE-PAGE FORM AND ENGLISH-THESIS AUTHORIZATION REQUIRED,,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0012,thesis-writing/thesis/frontmatter/title_pages.tex,Front matter,line 22: Approval and Signature Page,NEGATIVE_BOUNDARY,Approval and Signature Page,1;1.5;0.5;0.5,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0013,thesis-writing/thesis/frontmatter/title_pages.tex,Front matter,line 34: OFFICIAL APPROVAL AND SIGNATURE WORDING REQUIRED FROM THE CURRENT FACULTY FORM,NEGATIVE_BOUNDARY,OFFICIAL APPROVAL AND SIGNATURE WORDING REQUIRED FROM THE CURRENT FACULTY FORM,,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0014,thesis-writing/thesis/frontmatter/title_pages.tex,Front matter,line 35: INSTITUTIONAL APPROVAL AND DATA-GOVERNANCE WORDING REQUIRED FROM AUTHORITATIVE RECORDS,NEGATIVE_BOUNDARY,INSTITUTIONAL APPROVAL AND DATA-GOVERNANCE WORDING REQUIRED FROM AUTHORITATIVE RECORDS,,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0015,thesis-writing/thesis/frontmatter/abstract_secondary.tex,Front matter,"line 5: רשומות טיפול נמרץ לא סדירות כוללות מדידות בזמנים שאינם אחידים, עם זמינות משתנה וחוסרים העשויים לשקף תהליכי טיפול לצד מצב המטופל. עבודה זו בונה ובוחנת מסגרת מתועדת-ראיות המקשרת בין מדידות אלו לבין מצבי פרוקסי בעלי השראה קלינית, ובהינתן הנחות תצפיתיות מפורשות, לניתוחים מתוקננים מונחי DAG של תמותה בבית החולים. המטרה היא אינטגרציה מתודולוגית עם מעברים אנליטיים ניתנים למעקב, ולא תיקוף קליני, המלצת טיפול או הטמעה.",ABSTRACT_SYNTHESIS,"רשומות טיפול נמרץ לא סדירות כוללות מדידות בזמנים שאינם אחידים, עם זמינות משתנה וחוסרים העשויים לשקף תהליכי טיפול לצד מצב המטופל. עבודה זו בונה ובוחנת מסגרת מתועדת-ראיות המקשרת בין מדידות אלו לבין מצבי פרוקסי בעלי השראה קלינית, ובהינתן הנחות תצפיתיות מפורשות, לניתוחים מתוקננים מונחי DAG של תמותה בבית החולים. המטרה היא אינטגרציה מתודולוגית עם מעברים אנליטיים ניתנים למעקב, ולא תיקוף קליני, המלצת טיפול או הטמעה.",,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0016,thesis-writing/thesis/frontmatter/abstract_secondary.tex,Front matter,"line 7: זרימת העבודה נבחנת בנפרד בעוקבות PhysioNet 2012 ו-MIMIC-III. היא משלבת עיבוד מקדים ייחודי לכל מערך נתונים, מצבי פרוקסי דטרמיניסטיים שמקורם בכללים, חיזוי רב-תוויתי, נרמול ואיגוד אלגוריתמי של פלטים, גרפים מכוונים חסרי מעגלים (DAGs) המוגדרים בפרויקט, התאמה ייחודית לחשיפה, התאמה תיאורית, אמידת השפעות הטרוגניות, ובדיקות חוסן ופרובננס. ההערכה החיזויית משווה חמש משפחות מודלים מול תוויות שמקורן בכללים. מצבי הפרוקסי הם חשיפות אנליטיות, לא אבחנות שנקבעו בבדיקת תיקים; ה-DAGs של הפרויקט ",ABSTRACT_SYNTHESIS,"זרימת העבודה נבחנת בנפרד בעוקבות PhysioNet 2012 ו-MIMIC-III. היא משלבת עיבוד מקדים ייחודי לכל מערך נתונים, מצבי פרוקסי דטרמיניסטיים שמקורם בכללים, חיזוי רב-תוויתי, נרמול ואיגוד אלגוריתמי של פלטים, גרפים מכוונים חסרי מעגלים (DAGs) המוגדרים בפרויקט, התאמה ייחודית לחשיפה, התאמה תיאורית, אמידת השפעות הטרוגניות, ובדיקות חוסן ופרובננס. ההערכה החיזויית משווה חמש משפחות מודלים מול תוויות שמקורן בכללים. מצבי הפרוקסי הם חשיפות אנליטיות, לא אבחנות שנקבעו בבדיקת תיקים; ה-DAGs של הפרויקט לא נלמדו מן הנתונים ואינם מתוקפים קלינית.",2012,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0017,thesis-writing/thesis/frontmatter/abstract_secondary.tex,Front matter,"line 9: בסיכומי CausalForestDML הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של MIMIC-III היו חיוביים; תשעה מתוך עשרת הסיכומים של PhysioNet היו חיוביים, וסיכום ההלם היה שלילי. CausalForestDML ו-LinearDML הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; CausalPFN נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי הראשי ותמיכה אבחונית מקבילה עדיין אינם פתורים. התאמה מספקת הפרשי תוצא תיאוריים בזוגות תואמים, ולא אישוש של השפעת התערבות.",ABSTRACT_SYNTHESIS,"בסיכומי CausalForestDML הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של MIMIC-III היו חיוביים; תשעה מתוך עשרת הסיכומים של PhysioNet היו חיוביים, וסיכום ההלם היה שלילי. CausalForestDML ו-LinearDML הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; CausalPFN נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי הראשי ותמיכה אבחונית מקבילה עדיין אינם פתורים. התאמה מספקת הפרשי תוצא תיאוריים בזוגות תואמים, ולא אישוש של השפעת התערבות. התוצאות מדווחות בנפרד לכל מערך נתונים ואינן מאוגמות.",19;18;19,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0018,thesis-writing/thesis/frontmatter/abstract_secondary.tex,Front matter,"line 11: התרומה היא מסגרת שקופה לבחינת המעבר של מבנים שמקורם בכללים, ממדידות לא סדירות דרך חיזוי ועד לניתוח תצפיתי, בצד ארטיפקטים מספריים בדוקים וגבולות פרובננס מפורשים. האומדנים מותנים במדידת הפרוקסי, בגרף, בסדר הזמנים, בהתאמה, בחפיפה, במודל ובהנחות על מערפלים לא נמדדים. העבודה אינה קובעת שמצב פרוקסי גרם לתמותה, ששינוי שלו ישנה תוצאה, או שהמסגרת תקפה קלינית או מוכנה לשימוש. רשומות הראיות הזמינות משפרות עקיבות מספרית אך אינן קובעות שחזור חישובי מ-checkout נקי; דרושים עדיין סקירה קליני",ABSTRACT_SYNTHESIS,"התרומה היא מסגרת שקופה לבחינת המעבר של מבנים שמקורם בכללים, ממדידות לא סדירות דרך חיזוי ועד לניתוח תצפיתי, בצד ארטיפקטים מספריים בדוקים וגבולות פרובננס מפורשים. האומדנים מותנים במדידת הפרוקסי, בגרף, בסדר הזמנים, בהתאמה, בחפיפה, במודל ובהנחות על מערפלים לא נמדדים. העבודה אינה קובעת שמצב פרוקסי גרם לתמותה, ששינוי שלו ישנה תוצאה, או שהמסגרת תקפה קלינית או מוכנה לשימוש. רשומות הראיות הזמינות משפרות עקיבות מספרית אך אינן קובעות שחזור חישובי מ-checkout נקי; דרושים עדיין סקירה קלינית, תכנונים תצפיתיים חזקים יותר, תיקוף חיצוני ופרובננס מלא.",,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0019,thesis-writing/thesis/frontmatter/abstract_primary.tex,Front matter,line 2: chapterAbstract,ABSTRACT_SYNTHESIS,chapterAbstract,,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0020,thesis-writing/thesis/frontmatter/abstract_primary.tex,Front matter,"line 4: Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The ",ABSTRACT_SYNTHESIS,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.",,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0021,thesis-writing/thesis/frontmatter/abstract_primary.tex,Front matter,"line 6: The workflow is evaluated separately in the PhysioNet 2012 and MIMIC-III cohorts. It combines dataset-specific preprocessing, deterministic rule-derived proxy states, multi-label proxy-state prediction, normalization and algorithmic aggregation of prediction outputs, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment, descriptive matching, heterogeneous-effect estimation, and available robustness and provenance checks. The predictive evaluation com",ABSTRACT_SYNTHESIS,"The workflow is evaluated separately in the PhysioNet 2012 and MIMIC-III cohorts. It combines dataset-specific preprocessing, deterministic rule-derived proxy states, multi-label proxy-state prediction, normalization and algorithmic aggregation of prediction outputs, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment, descriptive matching, heterogeneous-effect estimation, and available robustness and provenance checks. The predictive evaluation compares five model families against rule-derived labels. The causal-analysis component treats proxy states as analytical exposures: they are not chart-adjudicated diagnoses, and the project DAGs are neither learned from data nor clinically validated.",2012,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0022,thesis-writing/thesis/frontmatter/abstract_primary.tex,Front matter,"line 8: For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; CausalPFN is retained only as an exploratory estimator because its primary methodological source and comparable diagnostic s",ABSTRACT_SYNTHESIS,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; CausalPFN is retained only as an exploratory estimator because its primary methodological source and comparable diagnostic support remain unresolved. Matching provides descriptive matched-pair outcome differences rather than confirmation of an intervention effect. Results are reported separately by dataset and are not pooled.",19;18;19,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0023,thesis-writing/thesis/frontmatter/abstract_primary.tex,Front matter,"line 10: The contribution is therefore a transparent framework for inspecting how rule-derived constructs move from irregular measurements through prediction and into observational analysis, together with checked numerical artifacts and explicit provenance boundaries. The estimates remain conditional on proxy measurement, graph, temporal-ordering, adjustment, overlap, model, and unmeasured-confounding assumptions. The thesis does not establish that a proxy state caused mortality, that",ABSTRACT_SYNTHESIS,"The contribution is therefore a transparent framework for inspecting how rule-derived constructs move from irregular measurements through prediction and into observational analysis, together with checked numerical artifacts and explicit provenance boundaries. The estimates remain conditional on proxy measurement, graph, temporal-ordering, adjustment, overlap, model, and unmeasured-confounding assumptions. The thesis does not establish that a proxy state caused mortality, that changing one would change an outcome, or that the workflow is clinically valid or ready for use. Available evidence records improve numerical traceability but do not establish clean-checkout computational reproducibility; clinical review, stronger observational designs, external validation, and complete provenance remain necessary.",,,audited thesis and checked tables,Chapters 3--12; checked_*.csv,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,EQUIVALENT,RETAIN,Languages audited as equivalent.
C0024,thesis-writing/thesis/frontmatter/keywords.tex,Front matter,line 2: chapterKeywords,WORKFLOW,chapterKeywords,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0025,thesis-writing/thesis/frontmatter/keywords.tex,Front matter,line 5: Irregular clinical time series; intensive care; electronic health records; proxy states; multi-label prediction; missingness-aware modeling; directed acyclic graphs; observational causal inference; double machine learning; causal forests; heterogeneous effect estimation; sensitivity analysis; evidence provenance; MIMIC-III; PhysioNet 2012.,WORKFLOW,Irregular clinical time series; intensive care; electronic health records; proxy states; multi-label prediction; missingness-aware modeling; directed acyclic graphs; observational causal inference; double machine learning; causal forests; heterogeneous effect estimation; sensitivity analysis; evidence provenance; MIMIC-III; PhysioNet 2012.,2012,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0026,thesis-writing/thesis/frontmatter/keywords.tex,Front matter,line 9: סדרות זמן קליניות לא סדירות; טיפול נמרץ; רשומות בריאות אלקטרוניות; מצבי פרוקסי; חיזוי רב-תוויתי; מידול מודע לחוסרים; גרפים מכוונים חסרי מעגלים; הסקה סיבתית תצפיתית; למידת מכונה כפולה; יערות סיבתיים; אמידת השפעות הטרוגניות; ניתוח רגישות; פרובננס ראייתי; MIMIC-III; PhysioNet 2012.,WORKFLOW,סדרות זמן קליניות לא סדירות; טיפול נמרץ; רשומות בריאות אלקטרוניות; מצבי פרוקסי; חיזוי רב-תוויתי; מידול מודע לחוסרים; גרפים מכוונים חסרי מעגלים; הסקה סיבתית תצפיתית; למידת מכונה כפולה; יערות סיבתיים; אמידת השפעות הטרוגניות; ניתוח רגישות; פרובננס ראייתי; MIMIC-III; PhysioNet 2012.,2012,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0027,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 2: chapterAbbreviations,WORKFLOW,chapterAbbreviations,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0028,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 6: Abbreviation | Meaning in this thesis,WORKFLOW,Abbreviation | Meaning in this thesis,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0029,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 10: Abbreviation | Meaning in this thesis,WORKFLOW,Abbreviation | Meaning in this thesis,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0030,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 15: ICU | Intensive Care Unit.,WORKFLOW,ICU | Intensive Care Unit.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0031,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 16: EHR | Electronic Health Record.,WORKFLOW,EHR | Electronic Health Record.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0032,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 17: DAG | Directed Acyclic Graph.,WORKFLOW,DAG | Directed Acyclic Graph.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0033,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 18: STraTS | Self-Supervised Transformer for Sparse and Irregularly Sampled Multivariate Clinical Time Series.,WORKFLOW,STraTS | Self-Supervised Transformer for Sparse and Irregularly Sampled Multivariate Clinical Time Series.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0034,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 19: GRU | Gated Recurrent Unit.,WORKFLOW,GRU | Gated Recurrent Unit.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0035,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 20: GRU-D | Gated Recurrent Unit with Decay.,WORKFLOW,GRU-D | Gated Recurrent Unit with Decay.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0036,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 21: TCN | Temporal Convolutional Network.,WORKFLOW,TCN | Temporal Convolutional Network.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0037,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 22: SAnD | Simply Attend and Diagnose.,WORKFLOW,SAnD | Simply Attend and Diagnose.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0038,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 23: DML | Double Machine Learning.,WORKFLOW,DML | Double Machine Learning.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0039,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 24: CATE | Conditional Average Treatment Effect; reported here only as a model-estimated quantity under the stated assumptions.,WORKFLOW,CATE | Conditional Average Treatment Effect; reported here only as a model-estimated quantity under the stated assumptions.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0040,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 25: HTE | Heterogeneous Treatment Effect.,WORKFLOW,HTE | Heterogeneous Treatment Effect.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0041,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 26: AUROC | Area Under the Receiver Operating Characteristic Curve.,WORKFLOW,AUROC | Area Under the Receiver Operating Characteristic Curve.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0042,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 27: AUPRC | Area Under the Precision--Recall Curve.,WORKFLOW,AUPRC | Area Under the Precision--Recall Curve.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
C0043,thesis-writing/thesis/frontmatter/nomenclature.tex,Front matter,line 28: minRP | Minimum of precision and recall.,WORKFLOW,minRP | Minimum of precision and recall.,,,cross-thesis evidence audit,thesis; checked source/tables,SUPPORTED_WITH_QUALIFICATION,EXPLICITLY_BOUNDED,CONSISTENT,ALIGNED,NOT_APPLICABLE,RETAIN,Scope and terminology bounded.
