source_id,title,authors,year,doi,stable_url,local_pdf_path,full_text_locally_available,source_origin,original_chatgpt_dataset,original_chatgpt_response_locator,phase2_manifest_status,intended_support_role,independent_verification_status,notes
V_DIC2001,"Towards definition, clinical and laboratory criteria, and a scoring system for disseminated intravascular coagulation",Taylor FB Jr; Toh CH; Hoots WK; Wada H; Levi M,2001,10.1055/s-0037-1616068,https://pubmed.ncbi.nlm.nih.gov/11816725/,thesis-writing/literature/papers/clinical_dic_isth_taylor_et_al_2001.pdf,Yes,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S05; local corpus record,Independent verification of overt-DIC laboratory scoring concepts,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","Inspected PDF pp. 1-3, especially Table 2 on p. 2; local mixed composites are not the ISTH score."
V_GCS1974,Assessment of coma and impaired consciousness: a practical scale,Teasdale G; Jennett B,1974,10.1016/S0140-6736(74)91639-0,https://pubmed.ncbi.nlm.nih.gov/4136544/,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S06; metadata only,Potential verification of GCS as a structured consciousness measure,NOT VERIFIED — FULL TEXT UNAVAILABLE,Not used to claim support for the multi-clause neurological proxies.
V_UDMI2018,Fourth Universal Definition of Myocardial Infarction (2018),Thygesen K; Alpert JS; Jaffe AS; et al.,2018,10.1161/CIR.0000000000000617,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000617,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S07; metadata only,Potential verification of assay-specific troponin myocardial-injury concepts,NOT VERIFIED — FULL TEXT UNAVAILABLE,No local full text; fixed project cutoffs remain unverified.
V_TROPONIN2015,Raised cardiac troponin in intensive care patients with sepsis: a systematic review,Zochios V; Valchanov K,2015,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5593290/,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S08; no local PDF,Potential context for troponin elevation in critical illness,NOT VERIFIED — FULL TEXT UNAVAILABLE,No local full text was inspected.
V_ELECTROLYTES2010,Fluid and Electrolyte Disturbances in Critically Ill Patients,Lee JW,2010,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3043756/,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S09; no local PDF,Potential broad support for electrolyte and acid-base derangement,NOT VERIFIED — FULL TEXT UNAVAILABLE,No local full text was inspected; exact composite remains unsupported.
V_MISSING2019,A New Insight Into Missing Data in Intensive Care Unit Patient Profiles: Observational Study,Sharafoddini A; Dubin JA; Maslove DM; Lee J,2019,10.2196/11605,https://medinform.jmir.org/2019/1/e11605/,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S10; no local PDF,Potential independent support for informative ICU missingness,NOT VERIFIED — FULL TEXT UNAVAILABLE,No local full text was inspected.
V_BANDA2018,Advances in Electronic Phenotyping: From Rule-Based Definitions to Machine Learning Models,Banda JM; Seneviratne M; Hernandez-Boussard T; Shah NH,2018,10.1146/annurev-biodatasci-080917-013315,https://pmc.ncbi.nlm.nih.gov/articles/PMC6583807/,thesis-writing/literature/papers/phenotyping_ehr_banda_et_al_2018.pdf,Yes,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S12; local corpus record,Independent support for explicit rule-based EHR phenotyping and validation needs,VERIFIED — SUPPORTS THE STATED CLAIM,"Inspected PDF pp. 1-6 and validation discussion; it supports the method class, not any local threshold."
V_ESSAY2020,Rule-Based Cohort Definitions for Acute Respiratory Failure: Electronic Phenotyping Algorithm,Essay P; Mosier J; Subbian V,2020,10.2196/18402,https://medinform.jmir.org/2020/4/e18402/,thesis-writing/literature/papers/phenotyping_respiratory_failure_essay_et_al_2020.pdf,Yes,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S13; local corpus record,Independent support for rule-based respiratory phenotyping from structured EHR data,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF",Inspected PDF pp. 1-4; its ventilation-therapy phenotypes do not validate CliniCause gas thresholds.
V_ELIXHAUSER1998,Comorbidity measures for use with administrative data,Elixhauser A; Steiner C; Harris DR; Coffey RM,1998,10.1097/00005650-199801000-00004,https://pubmed.ncbi.nlm.nih.gov/9431328/,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S14; metadata only,Potential broad support for administrative comorbidity measurement,NOT VERIFIED — FULL TEXT UNAVAILABLE,No local full text and no support for the project cutoff.
V_CHARLSON1987,A new method of classifying prognostic comorbidity in longitudinal studies,Charlson ME; Pompei P; Ales KL; MacKenzie CR,1987,,https://pubmed.ncbi.nlm.nih.gov/3558716/,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S15; metadata only,Potential broad support for weighted comorbidity concepts,NOT VERIFIED — FULL TEXT UNAVAILABLE,No local full text and no support for the project composite.
V_ALBUMIN2003,Hypoalbuminemia in acute illness: is there a rationale for intervention?,Vincent JL; Dubois MJ; Navickis RJ; Wilkes MM,2003,,https://pmc.ncbi.nlm.nih.gov/articles/PMC1514323/,,No,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S16; no local PDF,Potential association evidence for low albumin in acute illness,NOT VERIFIED — FULL TEXT UNAVAILABLE,No local full text was inspected for this build.
V_LIPTON2016,Modeling Missing Data in Clinical Time Series with RNNs,Lipton ZC; Kale DC; Wetzel R,2016,,https://proceedings.mlr.press/v56/Lipton16.html,thesis-writing/literature/papers/model_missingness_rnn_lipton_et_al_2016.pdf,Yes,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Existing local literature corpus; not in Phase 2 manifest,Independent verification that ICU observation patterns can be care-generated and predictive,"VERIFIED — SUPPORTS ASSOCIATION, NOT DIRECTED CAUSALITY",Inspected PDF pp. 1-3; predictive informativeness does not establish the final DAG directions.
