artifact_id,result_family,planned_chapter_section,planned_table_or_figure_id,pipeline,dataset,model_or_estimator,sampling_condition,run_name,treatment_or_proxy,artifact_role,relative_path,recorded_absolute_path,file_type,file_size_bytes,sha256,row_count,column_count,column_names_or_schema_signature,image_width,image_height,producing_stage,producing_script,run_summary_path,log_path,configuration_path,configuration_available,configuration_hash,source_commit,source_commit_status,command_available,input_provenance_status,execution_status,artifact_status,duplicate_group,canonical_source,admission_status,provenance_class,caveat_codes,human_decision_required,notes
ART-00011,cate,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_unified_table.csv,,csv,72448,bebb995b6cc65b9a35a8bbe43a61ccb16b7e7b9681219cf2fae04660bb7465bf,114,39,headers=run_folder|dataset|model|sampling|treatment|treatment_concept|model_type|estimator_class|n|outcome_rate|treatment_rate|treated_outcome_positive_rate|mean_cate|std_cate|min_cate|max_cate|mean_normalized_cate|std_normalized_cate|min_normalized_cate|max_normalized_cate|effect_direction|num_observed_confounders|num_missing_graph_candidates|observed_confounders|missing_graph_candidates|saved_direct_rv|saved_direct_sensitivity_interval_lb|saved_direct_sensitivity_interval_ub|analysis_RV|analysis_direct_rv|analysis_sensitivity_interval_lb|analysis_sensitivity_interval_ub|analysis_direct_sensitivity_summary_available|analysis_proxy_primary_candidate|analysis_proxy_robustness_ratio|analysis_rows|analysis_residual_rows|selected_cate_summary_path|selected_analysis_summary_path; duplicate_headers=False; duplicate_rows=False; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00012,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_benchmark_report.txt,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,txt,15487,629d6a474b8c9c5e75f2e952af55eeba63add69e858212c9ab9f6f00e94032ce,,,text; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00013,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_benchmark_scores.csv,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,csv,323,a60323adbee0b651a3d2cf305e3139f98b8f9b445e318279896f53fc10b2daae,3,7,headers=rank|confounder|proxy_cf_y|proxy_cf_d|proxy_strength_score|selected_as_candidate|is_primary_candidate; duplicate_headers=False; duplicate_rows=False; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00014,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_sensitivity_contour.png,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,png,101487,ac63b26bf7f66ba88ec99ff858e2eedba129919fd5b7f11954348ff660e31687,,,PNG; direct_archived_figure=True,1365,978,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,SHA256-ac63b26bf7f6,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_sensitivity_contour.png,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00015,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_benchmark_report.txt,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,txt,15646,d9a8fb15cb41912a607d35f5bf8570669d603a8637f0ad51e325d90fee19f161,,,text; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00016,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_benchmark_scores.csv,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,csv,422,36e598429a5ed10c908642ee36a3e70c13fc5d7b7efae58f512b5f9a1591ec09,4,7,headers=rank|confounder|proxy_cf_y|proxy_cf_d|proxy_strength_score|selected_as_candidate|is_primary_candidate; duplicate_headers=False; duplicate_rows=False; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00017,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_sensitivity_contour.png,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,png,96706,b187d391ecb64948d85aee2081f2c7048a922c3352284ef97c987a72429f0007,,,PNG; direct_archived_figure=True,1365,978,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,SHA256-b187d391ecb6,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_sensitivity_contour.png,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00018,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_benchmark_report.txt,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,txt,15563,333ec3a7a9c3e2da32a55e90b51bf968f23792e82e0329234116a14f4f4d89d2,,,text; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00019,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_benchmark_scores.csv,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,csv,297,141b0be2bbb0521910dfd2d29cdbe05f432b4e08978328a8b92b7b31d5a75565,2,7,headers=rank|confounder|proxy_cf_y|proxy_cf_d|proxy_strength_score|selected_as_candidate|is_primary_candidate; duplicate_headers=False; duplicate_rows=False; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00020,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_sensitivity_contour.png,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,png,101763,86d321935a0abd0677d9e6346755a4211b8c2dd2f8a48d0c61cf509d4032917c,,,PNG; direct_archived_figure=True,1366,978,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,SHA256-86d321935a0a,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_sensitivity_contour.png,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00021,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_INFLAMMATION_SEPSIS/LAT_INFLAMMATION_SEPSIS_benchmark_report.txt,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,txt,12519,d537665c3283a479ef7acea947e56264b21c4c273bd622b7b5ba90c52ba7c158,,,text; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00022,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_INFLAMMATION_SEPSIS/LAT_INFLAMMATION_SEPSIS_benchmark_scores.csv,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,csv,103,243920cbdebcaf9959139bf003a8b89f9389cc232faf514217bf532d203e6f5d,0,7,headers=rank|confounder|proxy_cf_y|proxy_cf_d|proxy_strength_score|selected_as_candidate|is_primary_candidate; duplicate_headers=False; duplicate_rows=False; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,SHA256-243920cbdebc,final-results/causal-outputs/outputs-mimic-forest-downsample/analyze_cate_results/LAT_INFLAMMATION_SEPSIS/LAT_INFLAMMATION_SEPSIS_benchmark_scores.csv,EXCLUDED_DUPLICATE,EXECUTION_SUPPORTED,HASH_EQUIVALENT_COPY,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00023,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_benchmark_report.txt,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,txt,15857,ae757af9a74d21913c4b9f2b9d5d73b7b45e74291137a31ecf7150198f77169f,,,text; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00024,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_benchmark_scores.csv,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,csv,503,a1faffe15f26601704e80b2ca971beb6cf7f1d58335c2c1a7c66f0ded6976b6e,4,7,headers=rank|confounder|proxy_cf_y|proxy_cf_d|proxy_strength_score|selected_as_candidate|is_primary_candidate; duplicate_headers=False; duplicate_rows=False; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00025,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_sensitivity_contour.png,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,png,93092,954ee8f4ca04c1e4e01560154784b7e551ab4b5ed722ab283b2da9cbcd368d25,,,PNG; direct_archived_figure=True,1365,978,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,SHA256-954ee8f4ca04,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_sensitivity_contour.png,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00026,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_NEUROLOGIC_DYSFUNCTION/LAT_NEUROLOGIC_DYSFUNCTION_benchmark_report.txt,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,txt,15792,7375115dc27e8c0c7da54f70cf7d3799e63d320fabf7e4f69041af9f6a8dd29c,,,text; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00027,sensitivity,Chapter 10,,causal,mimic,CausalForestDML,original,outputs-mimic-forest,,archived_source,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_NEUROLOGIC_DYSFUNCTION/LAT_NEUROLOGIC_DYSFUNCTION_benchmark_scores.csv,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/analyze_cate_results,csv,533,1124fde9e1f9ba01bd7f8e7e68a9c9de419109e21654283fc8e570d685102c3b,5,7,headers=rank|confounder|proxy_cf_y|proxy_cf_d|proxy_strength_score|selected_as_candidate|is_primary_candidate; duplicate_headers=False; duplicate_rows=False; parse=OK,,,analyze_cate_results,/truenas/home/kenzikob/causal-irregular-time-series/src/analyze_cate_results.py,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/logs/06_analyze_cate_results.log,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,False,,,MISSING,True,PROVENANCE_PARTIAL,success,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,EXECUTION_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
