table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-pfn-comparison,MIMIC|LAT_GLOBAL_SEVERITY,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_RESPIRATORY_FAILURE,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.050,0.050,YES,
tab:results-pfn-comparison,MIMIC|LAT_RESPIRATORY_FAILURE,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_RESPIRATORY_FAILURE,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.035,0.035,YES,
tab:results-pfn-comparison,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_SHOCK,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.032,0.032,YES,
tab:results-pfn-comparison,MIMIC|LAT_SHOCK,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_SHOCK,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_METABOLIC_DERANGEMENT,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.031,0.031,YES,
tab:results-pfn-comparison,MIMIC|LAT_METABOLIC_DERANGEMENT,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_METABOLIC_DERANGEMENT,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_CARDIAC_INJURY_STRAIN,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.119,0.119,YES,
tab:results-pfn-comparison,PhysioNet|LAT_CARDIAC_INJURY_STRAIN,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_CARDIAC_INJURY_STRAIN,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_RENAL_DYSFUNCTION,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.111,0.111,YES,
tab:results-pfn-comparison,PhysioNet|LAT_RENAL_DYSFUNCTION,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_RENAL_DYSFUNCTION,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_HEPATIC_DYSFUNCTION,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.107,0.107,YES,
tab:results-pfn-comparison,PhysioNet|LAT_HEPATIC_DYSFUNCTION,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_HEPATIC_DYSFUNCTION,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_GLOBAL_SEVERITY,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.105,0.105,YES,
tab:results-pfn-comparison,PhysioNet|LAT_GLOBAL_SEVERITY,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_GLOBAL_SEVERITY,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_METABOLIC_DERANGEMENT,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.091,0.091,YES,
tab:results-pfn-comparison,PhysioNet|LAT_METABOLIC_DERANGEMENT,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_METABOLIC_DERANGEMENT,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_NEUROLOGIC_DYSFUNCTION,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.077,0.077,YES,
tab:results-pfn-comparison,PhysioNet|LAT_NEUROLOGIC_DYSFUNCTION,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_NEUROLOGIC_DYSFUNCTION,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_INFLAMMATION_SEPSIS_BURDEN,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.067,0.067,YES,
tab:results-pfn-comparison,PhysioNet|LAT_INFLAMMATION_SEPSIS_BURDEN,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_INFLAMMATION_SEPSIS_BURDEN,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_RESPIRATORY_FAILURE,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.063,0.063,YES,
tab:results-pfn-comparison,PhysioNet|LAT_RESPIRATORY_FAILURE,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_RESPIRATORY_FAILURE,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_COAG_HEME_DYSFUNCTION,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.025,0.025,YES,
tab:results-pfn-comparison,PhysioNet|LAT_COAG_HEME_DYSFUNCTION,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,PhysioNet|LAT_COAG_HEME_DYSFUNCTION,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,PhysioNet|LAT_SHOCK,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.0041,0.0041,YES,
tab:results-pfn-comparison,PhysioNet|LAT_SHOCK,forest_linear_signs,checked_cate_candidates.csv:signs,"-,-","-,-",YES,
tab:results-pfn-comparison,PhysioNet|LAT_SHOCK,all_three_agree,checked_cate_candidates.csv:signs,No,No,YES,
