table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-linear-comparison,PhysioNet|LAT_HEPATIC_DYSFUNCTION,forest,checked_cate_candidates.csv:original CausalForestDML,0.091,0.091,YES,
tab:results-linear-comparison,PhysioNet|LAT_HEPATIC_DYSFUNCTION,linear,checked_cate_candidates.csv:original LinearDML,0.060,0.060,YES,
tab:results-linear-comparison,PhysioNet|LAT_HEPATIC_DYSFUNCTION,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_NEUROLOGIC_DYSFUNCTION,forest,checked_cate_candidates.csv:original CausalForestDML,0.082,0.082,YES,
tab:results-linear-comparison,PhysioNet|LAT_NEUROLOGIC_DYSFUNCTION,linear,checked_cate_candidates.csv:original LinearDML,0.076,0.076,YES,
tab:results-linear-comparison,PhysioNet|LAT_NEUROLOGIC_DYSFUNCTION,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_METABOLIC_DERANGEMENT,forest,checked_cate_candidates.csv:original CausalForestDML,0.078,0.078,YES,
tab:results-linear-comparison,PhysioNet|LAT_METABOLIC_DERANGEMENT,linear,checked_cate_candidates.csv:original LinearDML,0.080,0.080,YES,
tab:results-linear-comparison,PhysioNet|LAT_METABOLIC_DERANGEMENT,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_INFLAMMATION_SEPSIS_BURDEN,forest,checked_cate_candidates.csv:original CausalForestDML,0.072,0.072,YES,
tab:results-linear-comparison,PhysioNet|LAT_INFLAMMATION_SEPSIS_BURDEN,linear,checked_cate_candidates.csv:original LinearDML,0.071,0.071,YES,
tab:results-linear-comparison,PhysioNet|LAT_INFLAMMATION_SEPSIS_BURDEN,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_RESPIRATORY_FAILURE,forest,checked_cate_candidates.csv:original CausalForestDML,0.065,0.065,YES,
tab:results-linear-comparison,PhysioNet|LAT_RESPIRATORY_FAILURE,linear,checked_cate_candidates.csv:original LinearDML,0.063,0.063,YES,
tab:results-linear-comparison,PhysioNet|LAT_RESPIRATORY_FAILURE,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_COAG_HEME_DYSFUNCTION,forest,checked_cate_candidates.csv:original CausalForestDML,0.011,0.011,YES,
tab:results-linear-comparison,PhysioNet|LAT_COAG_HEME_DYSFUNCTION,linear,checked_cate_candidates.csv:original LinearDML,0.004,0.004,YES,
tab:results-linear-comparison,PhysioNet|LAT_COAG_HEME_DYSFUNCTION,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_SHOCK,forest,checked_cate_candidates.csv:original CausalForestDML,-0.014,-0.014,YES,
tab:results-linear-comparison,PhysioNet|LAT_SHOCK,linear,checked_cate_candidates.csv:original LinearDML,-0.027,-0.027,YES,
tab:results-linear-comparison,PhysioNet|LAT_SHOCK,same_direction,sign(mean_cate),Yes,Yes,YES,
